seed,n_train,n_test,n_families_train,n_families_test,gagblup_pearson,gagblup_spearman,bayesb_pearson,bayesb_spearman,gagblup_seconds,bayesb_seconds,wall_clock_seconds
1,1032,262,20,5,nan,nan,0.542175947967791,0.519514072360911,nan,408.769123077393,446.8
2,984,310,19,6,nan,nan,0.531552275261954,0.522219631922648,nan,406.349086284637,452.9
3,999,295,19,6,nan,nan,0.55177551289156,0.54113585049508,nan,388.432672739029,437.2
4,1032,262,20,5,nan,nan,0.558874381099417,0.518255723082317,nan,389.466786384583,445.8
5,1033,261,20,5,nan,nan,0.490407340605073,0.476984756398652,nan,367.935789823532,411.3
6,1024,270,20,5,nan,nan,0.468153806594108,0.471740123143568,nan,379.067708969116,416.8
7,1013,281,20,5,nan,nan,0.568027894243677,0.537780703129319,nan,397.395389080048,434.4
8,1029,265,20,5,nan,nan,0.44148049161458,0.4189218141572,nan,381.708773374557,418.7
9,1011,283,20,5,nan,nan,0.448469576393046,0.418794257432603,nan,391.347759246826,427.9
10,1013,281,20,5,nan,nan,0.59216715908047,0.581362612272831,nan,393.660435199738,431.0
11,1020,274,20,5,nan,nan,0.481149336004579,0.492359373490703,nan,389.108196973801,426.4
12,1024,270,20,5,nan,nan,0.606145489671933,0.591183921594503,nan,383.263626098633,421.3
13,994,300,19,6,nan,nan,0.621135354862606,0.603404380618725,nan,386.665957927704,424.2
14,1019,275,20,5,nan,nan,0.616732653552407,0.585629305198402,nan,391.691460132599,429.0
15,1024,270,20,5,nan,nan,0.575653301133177,0.575436998507857,nan,403.153898954391,440.3
16,1023,271,20,5,nan,nan,0.493098101437411,0.455532906457162,nan,385.377634048462,422.8
17,1027,267,20,5,nan,nan,0.493411535110239,0.448218919858013,nan,390.438365221024,427.9
18,1017,277,20,5,nan,nan,0.597609080129077,0.578801453817033,nan,392.358036994934,429.5
19,1023,271,20,5,nan,nan,0.589869448326058,0.589089424742768,nan,409.290273189545,446.5
20,989,305,19,6,nan,nan,0.522012875480979,0.498977364130548,nan,404.18542766571,440.7
21,1018,276,20,5,nan,nan,0.546181382828826,0.508325025075478,nan,384.659822225571,423.3
22,1026,268,20,5,nan,nan,0.590586290125931,0.543917209241824,nan,397.887172698975,435.0
23,1026,268,20,5,nan,nan,0.549793873861447,0.541314002134108,nan,405.36515712738,442.5
24,1029,265,20,5,nan,nan,0.48661793359468,0.455829459602613,nan,392.732871294022,430.3
25,1028,266,20,5,nan,nan,0.559273412758866,0.53792158271323,nan,410.305707454681,447.6
26,1024,270,20,5,nan,nan,0.560920691289082,0.560879697726543,nan,393.313912630081,430.4
27,998,296,19,6,nan,nan,0.56759079435835,0.564425075267324,nan,387.1420109272,423.5
28,1025,269,20,5,nan,nan,0.550884733616751,0.535374066624955,nan,405.309387207031,442.6
29,1027,267,20,5,nan,nan,0.576592517003253,0.561858333297308,nan,395.249552965164,432.3
30,986,308,19,6,nan,nan,0.490552041092199,0.515458025751893,nan,380.068378448486,416.5
31,1029,265,20,5,nan,nan,0.530458195184328,0.529625964800274,nan,388.351347446442,425.7
32,1025,269,20,5,nan,nan,0.51081835931326,0.497458871481072,nan,392.101005315781,429.3
33,999,295,19,6,nan,nan,0.539892588758756,0.508634462876895,nan,381.445580720901,417.9
34,1000,294,19,6,nan,nan,0.558145442226229,0.562332177062433,nan,384.877993583679,421.2
35,1013,281,20,5,nan,nan,0.549795758587762,0.564346725950174,nan,392.45207452774,429.6
36,1000,294,19,6,nan,nan,0.522081146589098,0.477264667315229,nan,374.407439231873,410.4
37,1016,278,20,5,nan,nan,0.478531595320666,0.475750414192135,nan,400.057179450989,437.2
38,982,312,19,6,nan,nan,0.532815872103289,0.533263029256043,nan,389.648569822311,430.9
39,1020,274,20,5,nan,nan,0.411962135663993,0.401063058078936,nan,372.634744167328,414.8
40,1004,290,19,6,nan,nan,0.49865643882928,0.501688408754698,nan,397.988259553909,434.6
41,1022,272,20,5,nan,nan,0.438713208339482,0.462774707214037,nan,384.455164194107,421.7
42,984,310,19,6,nan,nan,0.503186157828891,0.487465715711036,nan,388.310536384583,425.2
43,997,297,19,6,nan,nan,0.502843906107779,0.489376325784798,nan,390.025698423386,426.5
44,1015,279,20,5,nan,nan,0.589241751804346,0.585179534801099,nan,386.33066701889,423.4
45,1034,260,20,5,nan,nan,0.561814901337947,0.545451907514583,nan,389.303557395935,426.7
46,992,302,19,6,nan,nan,0.609092475841518,0.577394317729456,nan,400.843630075455,437.2
47,984,310,19,6,nan,nan,0.472529253542969,0.433682775670942,nan,377.360216379166,413.7
48,1019,275,20,5,nan,nan,0.562085791252669,0.513834905521924,nan,388.325480699539,425.2
49,1033,261,19,6,nan,nan,0.487096140251634,0.5092351566188,nan,399.308461904526,436.7
50,1009,285,19,6,nan,nan,0.539093775396213,0.542253138727048,nan,387.596060991287,423.8
51,987,307,19,6,nan,nan,0.584738076488349,0.583647789614248,nan,386.439842224121,422.7
52,1022,272,20,5,nan,nan,0.493437814599094,0.480282608981191,nan,405.856157302856,443.1
53,1012,282,20,5,nan,nan,0.615615784373405,0.600677391634598,nan,369.932951211929,406.3
54,1002,292,19,6,nan,nan,0.528980603230784,0.502945206769066,nan,398.405879735947,434.9
55,1013,281,20,5,nan,nan,0.545482628851134,0.536308963574971,nan,375.973155975342,413.1
56,985,309,19,6,nan,nan,0.547680997445497,0.51810005616133,nan,377.993044376373,414.4
57,1018,276,20,5,nan,nan,0.493232101438016,0.508766805417472,nan,406.799431800842,443.9
58,1030,264,20,5,nan,nan,0.487431728976263,0.474416306806492,nan,394.005326509476,431.4
59,1029,265,20,5,nan,nan,0.482423493786461,0.50467620877638,nan,383.208030223846,420.7
60,1024,270,20,5,nan,nan,0.56269737791174,0.532683075830535,nan,397.310122013092,434.3
61,995,299,19,6,nan,nan,0.50664525768155,0.513319044052279,nan,370.287040948868,406.6
62,997,297,19,6,nan,nan,0.486369297374836,0.518304165725296,nan,401.462543010712,437.6
63,1012,282,20,5,nan,nan,0.597759053729521,0.586987819643172,nan,372.840723276138,409.6
64,1034,260,20,5,nan,nan,0.586045986337431,0.570003210684152,nan,400.719936132431,437.8
65,1012,282,20,5,nan,nan,0.605817754983995,0.576775284478775,nan,364.639554738998,401.0
66,1012,282,20,5,nan,nan,0.446646534508386,0.3530140454991,nan,378.03310251236,414.3
67,1031,263,20,5,nan,nan,0.494608535066599,0.51211378642752,nan,388.964237451553,426.1
68,1000,294,19,6,nan,nan,0.481534333374986,0.487826496558278,nan,370.087548971176,406.9
69,983,311,19,6,nan,nan,0.44865556788306,0.45483791244575,nan,357.576003551483,394.0
70,1018,276,20,5,nan,nan,0.519889013133111,0.479361650216219,nan,378.716203927994,415.7
71,983,311,19,6,nan,nan,0.4787435706966,0.472503878180204,nan,386.291069507599,422.9
72,1026,268,20,5,nan,nan,0.556400571386139,0.526983806369269,nan,395.693994760513,432.9
73,1022,272,20,5,nan,nan,0.541014847249136,0.520390961178478,nan,389.931078910828,427.2
74,1021,273,20,5,nan,nan,0.537206118288271,0.5155327318532,nan,402.592265844345,439.7
75,1025,269,20,5,nan,nan,0.59926789474646,0.554478585570968,nan,397.192517280579,434.5
76,1022,272,20,5,nan,nan,0.571757617340931,0.558164053457555,nan,380.093616008759,417.2
77,1024,270,20,5,nan,nan,0.550451434161697,0.555332364260188,nan,391.493613481522,428.5
78,1004,290,19,6,nan,nan,0.583362387200256,0.57880888074315,nan,396.777270555496,433.5
79,1024,270,20,5,nan,nan,0.549202224304777,0.569731285057163,nan,385.500579357147,422.8
80,989,305,19,6,nan,nan,0.592212688556702,0.590293523064121,nan,375.335000276566,411.8
81,1018,276,20,5,nan,nan,0.516538497595186,0.549758464312237,nan,386.703997373581,424.1
82,1026,268,20,5,nan,nan,0.539770474322329,0.507177655431194,nan,385.929053783417,423.1
83,1021,273,20,5,nan,nan,0.676298290089169,0.638990485003383,nan,390.852615833282,429.4
84,1023,271,20,5,nan,nan,0.469109031012571,0.445978649857712,nan,386.012843370438,423.3
85,1005,289,19,6,nan,nan,0.497971466126257,0.485140022565149,nan,406.019416570663,446.3
86,1027,267,20,5,nan,nan,0.588220572345158,0.590005819113698,nan,343.928076267242,381.3
87,1016,278,20,5,nan,nan,0.592048188777224,0.606534518146373,nan,395.745884418488,432.8
88,1030,264,20,5,nan,nan,0.56671790552457,0.553441286703393,nan,388.768814325333,426.2
89,1024,270,20,5,nan,nan,0.584985781817635,0.578376754507769,nan,377.383589982986,414.6
90,987,307,19,6,nan,nan,0.643894914760322,0.608049755042842,nan,378.727340936661,415.1
91,1015,279,20,5,nan,nan,0.529912267040121,0.52074539652918,nan,401.51726269722,438.8
92,983,311,19,6,nan,nan,0.526232784944757,0.488863937518337,nan,378.195268154144,414.9
93,1023,271,20,5,nan,nan,0.593130680469131,0.597933118718354,nan,407.006414175034,444.3
94,991,303,19,6,nan,nan,0.664442942799142,0.654035313551525,nan,365.380441188812,402.1
95,1001,293,19,6,nan,nan,0.522322380617048,0.532187642379459,nan,364.102677345276,401.1
96,1018,276,20,5,nan,nan,0.479397755097171,0.487540521098201,nan,401.811298370361,438.9
97,1029,265,20,5,nan,nan,0.539065867556978,0.518449329676917,nan,383.836398601532,421.3
98,1029,265,20,5,nan,nan,0.63694221107916,0.619362054664936,nan,363.756299495697,401.3
99,981,313,19,6,nan,nan,0.562742767792182,0.55957175681064,nan,390.785886526108,427.9
100,1031,263,20,5,nan,nan,0.536352088098777,0.503357926077527,nan,404.078675031662,441.1
