seed,n_train,n_test,n_families_train,n_families_test,gagblup_pearson,gagblup_spearman,bayesb_pearson,bayesb_spearman,gagblup_seconds,bayesb_seconds,wall_clock_seconds
1,1038,268,20,5,nan,nan,0.387957964467344,0.420046142890745,nan,448.78377366066,486.7
2,995,311,19,6,nan,nan,0.414812285951992,0.493175954693321,nan,454.617201328278,516.6
3,1007,299,19,6,nan,nan,0.486921111220143,0.507099365077716,nan,440.104107379913,477.6
4,1037,269,20,5,nan,nan,0.336642247114871,0.377693673712434,nan,436.792923212051,474.2
5,1043,263,20,5,nan,nan,0.479010966242211,0.47024955687436,nan,457.974659919739,495.3
6,1035,271,20,5,nan,nan,0.435401022335637,0.478223263855673,nan,439.78854227066,477.7
7,1023,283,20,5,nan,nan,0.433380580075221,0.423700005364776,nan,436.040276527405,473.4
8,1036,270,20,5,nan,nan,0.349437360878271,0.48190342672271,nan,435.650555610657,473.2
9,1022,284,20,5,nan,nan,0.455152689772543,0.500906052875728,nan,439.685613393784,477.3
10,1023,283,20,5,nan,nan,0.375845337618157,0.369506798876404,nan,423.601863145828,461.1
11,1033,273,20,5,nan,nan,0.408969747202417,0.429852652983685,nan,426.160773992538,463.5
12,1037,269,20,5,nan,nan,0.444951904562146,0.466128124665776,nan,431.375085830688,468.9
13,1006,300,19,6,nan,nan,0.472941489717782,0.486085964143028,nan,434.593326091766,472.2
14,1030,276,20,5,nan,nan,0.419453362110778,0.452043273557423,nan,415.554898500443,453.0
15,1034,272,20,5,nan,nan,0.348933634316158,0.384984623791549,nan,448.377868652344,486.4
16,1032,274,20,5,nan,nan,0.464559047024104,0.488922859916501,nan,447.419737815857,485.0
17,1039,267,20,5,nan,nan,0.361335841202274,0.386971740416045,nan,437.18727684021,475.0
18,1028,278,20,5,nan,nan,0.421213512263859,0.498058515974446,nan,449.89203953743,488.0
19,1030,276,20,5,nan,nan,0.44158787788519,0.504355690311536,nan,437.036068201065,474.6
20,1000,306,19,6,nan,nan,0.468940486618055,0.480029702432564,nan,435.939135313034,472.9
21,1029,277,20,5,nan,nan,0.404796900514125,0.411905094623648,nan,443.767047166824,481.7
22,1039,267,20,5,nan,nan,0.455772632781204,0.488513949404978,nan,427.134090185165,466.0
23,1035,271,20,5,nan,nan,0.502519930971507,0.527220007559007,nan,411.302097082138,449.6
24,1038,268,20,5,nan,nan,0.412461772091081,0.455241835501557,nan,444.277599096298,482.4
25,1037,269,20,5,nan,nan,0.489948313431563,0.519711158044533,nan,436.934942007065,474.9
26,1033,273,20,5,nan,nan,0.459391240900484,0.479735713350053,nan,429.473059654236,467.3
27,1006,300,19,6,nan,nan,0.415374961103771,0.420258176719157,nan,427.674127578735,465.1
28,1036,270,20,5,nan,nan,0.544411007530214,0.563298834444597,nan,414.920725822449,452.9
29,1035,271,20,5,nan,nan,0.39374365278849,0.444389710001953,nan,434.499954462051,472.1
30,998,308,19,6,nan,nan,0.374961914762698,0.430885559653558,nan,431.547407865524,468.4
31,1037,269,20,5,nan,nan,0.386295282838041,0.445837766995833,nan,433.848337650299,471.4
32,1034,272,20,5,nan,nan,0.390897439896919,0.450206000344004,nan,422.89975810051,460.6
33,1008,298,19,6,nan,nan,0.50895722483613,0.526961503681826,nan,435.623940706253,478.4
34,1012,294,19,6,nan,nan,0.39184068486515,0.463453082751126,nan,447.436312198639,484.6
35,1024,282,20,5,nan,nan,0.358801584335978,0.401123511634846,nan,437.323357105255,475.0
36,1007,299,19,6,nan,nan,0.48824319417515,0.513061936911297,nan,430.703946590424,470.3
37,1028,278,20,5,nan,nan,0.343327349757754,0.382466316558184,nan,442.723432779312,480.8
38,994,312,19,6,nan,nan,0.404832564385421,0.474070346827046,nan,412.789891242981,449.7
39,1031,275,20,5,nan,nan,0.450247072112461,0.443707302382525,nan,419.016769170761,457.4
40,1013,293,19,6,nan,nan,0.388367486111314,0.433629719199532,nan,420.984240293503,458.8
41,1034,272,20,5,nan,nan,0.414397914441466,0.433186096191934,nan,435.780729293823,474.1
42,994,312,19,6,nan,nan,0.518234637552689,0.550720846874137,nan,423.558413267136,460.9
43,1007,299,19,6,nan,nan,0.431910600587446,0.469222855197739,nan,443.567920684814,481.3
44,1027,279,20,5,nan,nan,0.462210401506992,0.462039438098731,nan,436.325575590134,474.6
45,1042,264,20,5,nan,nan,0.470585639763541,0.529933529962235,nan,435.902812004089,476.8
46,1001,305,19,6,nan,nan,0.309976434790786,0.382620643046043,nan,402.975653171539,440.3
47,993,313,19,6,nan,nan,0.464336629871612,0.495730581382308,nan,433.617193698883,470.7
48,1029,277,20,5,nan,nan,0.423759029689415,0.437979363746639,nan,442.253154754639,480.7
49,1039,267,19,6,nan,nan,0.438454661461744,0.428960645337753,nan,458.066515684128,496.0
50,1013,293,19,6,nan,nan,0.337910177462578,0.372104345422054,nan,435.103948354721,472.4
51,999,307,19,6,nan,nan,0.436361199281627,0.468874275186388,nan,435.850966930389,472.5
52,1032,274,20,5,nan,nan,0.385264889756408,0.545063693553916,nan,440.022042036057,477.8
53,1024,282,20,5,nan,nan,0.412247012454288,0.463580553198084,nan,425.791110277176,463.4
54,1008,298,19,6,nan,nan,0.445829266635168,0.462441823902153,nan,428.680017709732,466.0
55,1024,282,20,5,nan,nan,0.381017979057375,0.399650574875168,nan,444.729718208313,482.5
56,992,314,19,6,nan,nan,0.430978287233402,0.434651106859366,nan,445.047171831131,481.9
57,1028,278,20,5,nan,nan,0.349247320135372,0.419252220413194,nan,438.711107969284,476.0
58,1042,264,20,5,nan,nan,0.502477710036429,0.474704311334077,nan,453.167028427124,490.9
59,1038,268,20,5,nan,nan,0.556480611373978,0.596573903040318,nan,452.441564083099,490.2
60,1033,273,20,5,nan,nan,0.380355833840083,0.435142268067791,nan,440.009133338928,478.1
61,1006,300,19,6,nan,nan,0.430935676748727,0.44346364037392,nan,431.476941347122,468.9
62,1008,298,19,6,nan,nan,0.396307241635416,0.448655271000374,nan,419.731301546097,456.7
63,1023,283,20,5,nan,nan,0.456931535761021,0.480164850926686,nan,451.354486703873,488.5
64,1040,266,20,5,nan,nan,0.478056985482132,0.48701979042891,nan,414.192135810852,452.0
65,1021,285,20,5,nan,nan,0.408377627184416,0.452011290958909,nan,440.214129209518,477.7
66,1024,282,20,5,nan,nan,0.492872709229468,0.493323396390105,nan,424.535128831863,461.9
67,1038,268,20,5,nan,nan,0.438319563116398,0.491704854089704,nan,454.10929775238,492.4
68,1004,302,19,6,nan,nan,0.364544321422973,0.391914223416212,nan,418.21731710434,455.1
69,991,315,19,6,nan,nan,0.370745134237888,0.359619898418027,nan,434.23231959343,471.2
70,1029,277,20,5,nan,nan,0.537243765363386,0.537789163462866,nan,447.251144886017,485.4
