seed,n_train,n_test,n_families_train,n_families_test,gagblup_pearson,gagblup_spearman,bayesb_pearson,bayesb_spearman,gagblup_seconds,bayesb_seconds,wall_clock_seconds
1,1050,269,20,5,nan,nan,0.445066872580581,0.463440361718074,nan,459.390853881836,502.4
2,1006,313,19,6,nan,nan,0.520059538496932,0.531692939140093,nan,433.196858882904,472.7
3,1017,302,19,6,nan,nan,0.511563055427095,0.495703226008326,nan,432.222001791,470.1
4,1050,269,20,5,nan,nan,0.460324486387294,0.422559371965027,nan,445.097915649414,483.3
5,1051,268,20,5,nan,nan,0.569234946815899,0.574229263602027,nan,435.855290174484,473.7
6,1044,275,20,5,nan,nan,0.376663224403858,0.362743006345967,nan,456.061614990234,494.0
7,1034,285,20,5,nan,nan,0.419948311807008,0.455532861776535,nan,425.899599552155,463.6
8,1047,272,20,5,nan,nan,0.494517200390675,0.4787682570225,nan,439.996029376984,478.1
9,1033,286,20,5,nan,nan,0.437658203955916,0.410155316240843,nan,457.176960468292,495.0
10,1034,285,20,5,nan,nan,0.27124685934154,0.398569669207967,nan,433.504711866379,471.2
11,1043,276,20,5,nan,nan,0.426475841428886,0.475841830217875,nan,455.020803451538,493.0
12,1045,274,20,5,nan,nan,0.412046187982593,0.418604712215649,nan,451.771757364273,489.9
13,1015,304,19,6,nan,nan,0.422683477479529,0.391063786258855,nan,449.867640733719,488.1
14,1041,278,20,5,nan,nan,0.463469158643151,0.489163765055549,nan,440.405532598495,478.3
15,1043,276,20,5,nan,nan,0.511574026215362,0.518052970643574,nan,435.814117670059,473.7
16,1042,277,20,5,nan,nan,0.422481575372715,0.444956169977138,nan,437.579954147339,475.6
17,1048,271,20,5,nan,nan,0.388632797060182,0.387387444425675,nan,412.936308383942,451.2
18,1038,281,20,5,nan,nan,0.454856563319298,0.427763257704756,nan,440.246918916702,478.4
19,1041,278,20,5,nan,nan,0.587624198560371,0.554411185429739,nan,456.019243478775,493.6
20,1010,309,19,6,nan,nan,0.505929628639902,0.478666892949377,nan,420.943687677383,458.8
21,1038,281,20,5,nan,nan,0.289746934544484,0.323591763490773,nan,435.558964729309,473.7
22,1046,273,20,5,nan,nan,0.516953581676826,0.497298226624012,nan,434.066043376923,472.4
23,1046,273,20,5,nan,nan,0.534586528902071,0.553760170833248,nan,446.943438768387,484.9
24,1048,271,20,5,nan,nan,0.456304088147566,0.446140676342144,nan,447.984513044357,486.1
25,1046,273,20,5,nan,nan,0.626141678267555,0.630460679139573,nan,449.15914773941,487.4
26,1044,275,20,5,nan,nan,0.443202487225609,0.465341041545877,nan,435.874473571777,473.6
27,1016,303,19,6,nan,nan,0.484493973357836,0.508072885410368,nan,440.168921470642,478.1
28,1046,273,20,5,nan,nan,0.564533843805852,0.569303416018402,nan,429.216973781586,467.5
29,1046,273,20,5,nan,nan,0.479052206795189,0.499896785917602,nan,441.388493776321,479.5
30,1008,311,19,6,nan,nan,0.391128364761332,0.391503006254252,nan,442.742959499359,479.8
31,1048,271,20,5,nan,nan,0.391800033663825,0.388586526431621,nan,454.971115112305,495.4
32,1044,275,20,5,nan,nan,0.421632990388389,0.434341414778323,nan,428.604748249054,466.6
33,1020,299,19,6,nan,nan,0.475930562141638,0.470666915971015,nan,441.060919284821,478.9
34,1022,297,19,6,nan,nan,0.275706744830432,0.317113870698792,nan,429.289239168167,467.4
35,1034,285,20,5,nan,nan,0.49820526985922,0.536638721745944,nan,456.125140190125,494.3
36,1018,301,19,6,nan,nan,0.476385531741088,0.48784823770891,nan,436.370718479156,474.7
37,1038,281,20,5,nan,nan,0.40479201239568,0.439242692291886,nan,453.55489397049,491.9
38,1004,315,19,6,nan,nan,0.523413090859655,0.492992259911029,nan,445.247826099396,482.4
39,1040,279,20,5,nan,nan,0.51040814325457,0.562088812724844,nan,438.740821361542,476.5
40,1025,294,19,6,nan,nan,0.413231358780493,0.455437867450263,nan,441.187333583832,478.9
41,1044,275,20,5,nan,nan,0.342534636252271,0.387483405278601,nan,446.249933481216,484.2
42,1004,315,19,6,nan,nan,0.5056427458545,0.497719295435403,nan,434.646104097366,472.6
43,1018,301,19,6,nan,nan,0.419742016433902,0.445849331378759,nan,435.261644601822,473.6
44,1037,282,20,5,nan,nan,0.584829880643311,0.594559299226402,nan,443.19189286232,481.3
45,1051,268,20,5,nan,nan,0.563833562103998,0.548380731809451,nan,440.250555992126,478.5
46,1013,306,19,6,nan,nan,0.479674722527411,0.466841682757448,nan,433.602144002914,471.9
47,1005,314,19,6,nan,nan,0.488909166182505,0.475828252463365,nan,450.893241405487,488.3
48,1040,279,20,5,nan,nan,0.418897340263816,0.420023323349683,nan,433.450662612915,471.6
49,1051,268,19,6,nan,nan,0.456088593317612,0.408405784593819,nan,434.95592880249,473.0
50,1026,293,19,6,nan,nan,0.472019266651212,0.470855494367913,nan,443.098166227341,481.2
51,1007,312,19,6,nan,nan,0.545565234189803,0.51930159923869,nan,431.553176879883,468.9
52,1041,278,20,5,nan,nan,0.557910306656787,0.551116166531199,nan,429.994055509567,468.0
53,1034,285,20,5,nan,nan,0.460127221333258,0.531054175219818,nan,428.880276918411,467.0
54,1019,300,19,6,nan,nan,0.477846482140844,0.449518265746797,nan,435.602261304855,473.8
55,1034,285,20,5,nan,nan,0.513225555214585,0.534876605173181,nan,409.463596820831,447.5
56,1001,318,19,6,nan,nan,0.468218781323051,0.483667145319819,nan,432.437538146973,470.0
57,1039,280,20,5,nan,nan,0.30568686663383,0.344983411700774,nan,421.983309030533,460.3
58,1049,270,20,5,nan,nan,0.485827999660698,0.469857380696553,nan,449.767629623413,488.0
59,1046,273,20,5,nan,nan,0.528498619911514,0.477140214444929,nan,422.407019615173,460.6
60,1044,275,20,5,nan,nan,0.369663722405003,0.399586854353397,nan,433.200770139694,471.2
61,1016,303,19,6,nan,nan,0.484086666684494,0.516918867325317,nan,418.517619132996,456.6
62,1018,301,19,6,nan,nan,0.46412464001694,0.466972227578886,nan,424.524603843689,462.5
63,1033,286,20,5,nan,nan,0.565876641513704,0.568834237314321,nan,434.454964876175,472.5
64,1050,269,20,5,nan,nan,0.45110835696098,0.456383824443637,nan,438.110512733459,476.1
65,1034,285,20,5,nan,nan,0.411657089908285,0.390157559554247,nan,454.16193652153,492.4
66,1034,285,20,5,nan,nan,0.451694038591163,0.446296406214482,nan,416.681858301163,454.7
67,1050,269,20,5,nan,nan,0.52806601551959,0.532014723855296,nan,436.084093093872,474.2
68,1017,302,19,6,nan,nan,0.473891339443818,0.481210561484274,nan,435.30552148819,473.6
69,999,320,19,6,nan,nan,0.53949287732312,0.563925259436236,nan,461.033934593201,498.8
70,1040,279,20,5,nan,nan,0.473576975611046,0.482024970516508,nan,462.975844144821,501.4
71,1004,315,19,6,nan,nan,0.545071962351714,0.551682792331442,nan,431.058351516724,468.6
72,1045,274,20,5,nan,nan,0.485716368049138,0.485462773513724,nan,449.685607433319,488.1
73,1043,276,20,5,nan,nan,0.508645636552783,0.519752702561765,nan,428.270182132721,466.7
74,1042,277,20,5,nan,nan,0.433664873995888,0.446141539808182,nan,431.132012605667,469.1
75,1044,275,20,5,nan,nan,0.368380466194013,0.389944577320735,nan,456.549319267273,494.6
76,1042,277,20,5,nan,nan,0.455598769650325,0.491618063049512,nan,440.195144414902,478.6
77,1043,276,20,5,nan,nan,0.628717886758104,0.629786322030103,nan,442.936466693878,481.3
78,1022,297,19,6,nan,nan,0.54785209197567,0.543278259757946,nan,438.354138851166,477.9
79,1045,274,20,5,nan,nan,0.329862832787377,0.331372853855985,nan,431.765436172485,471.2
80,1008,311,19,6,nan,nan,0.476836446813504,0.458637473956101,nan,439.91063785553,477.4
