seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
31,1048,271,20,5,0.4208,0.4055,0.4135,0.4043,0.4404,0.424,46.3
32,1044,275,20,5,0.457,0.4573,0.4483,0.4518,0.4212,0.4294,45.8
33,1020,299,19,6,0.5028,0.4995,0.4962,0.4893,0.5168,0.5025,45.8
34,1022,297,19,6,0.3958,0.3893,0.4064,0.398,0.387,0.3797,46.3
35,1034,285,20,5,0.5003,0.5377,0.4888,0.5333,0.4516,0.4896,46.0
36,1018,301,19,6,0.4779,0.4633,0.4825,0.4725,0.4653,0.4516,46.1
37,1038,281,20,5,0.4074,0.4432,0.3962,0.4372,0.4273,0.4685,46.8
38,1004,315,19,6,0.51,0.5013,0.5045,0.4928,0.5033,0.489,45.9
39,1040,279,20,5,0.5348,0.5815,0.514,0.5731,0.5358,0.5866,47.9
40,1025,294,19,6,0.4086,0.4576,0.4257,0.4739,0.3893,0.4265,46.6
41,1044,275,20,5,0.3879,0.4324,0.3725,0.4246,0.3628,0.4179,46.0
42,1004,315,19,6,0.5331,0.5071,0.5298,0.5058,0.4785,0.4529,45.4
43,1018,301,19,6,0.406,0.4291,0.4072,0.4383,0.3889,0.4217,45.7
44,1037,282,20,5,0.5696,0.572,0.5588,0.5677,0.5891,0.5963,45.7
45,1051,268,20,5,0.5657,0.5674,0.5837,0.5843,0.547,0.5429,47.4
46,1013,306,19,6,0.4755,0.468,0.4486,0.4503,0.4677,0.4545,46.2
47,1005,314,19,6,0.4797,0.4674,0.4578,0.448,0.5094,0.4889,45.0
48,1040,279,20,5,0.4267,0.4189,0.4161,0.4213,0.4165,0.4066,46.0
49,1051,268,19,6,0.4373,0.4062,0.4525,0.4116,0.3903,0.363,46.2
50,1026,293,19,6,0.4554,0.4552,0.4485,0.4558,0.4198,0.4227,45.9
51,1007,312,19,6,0.508,0.4946,0.512,0.4934,0.5248,0.5058,46.3
52,1041,278,20,5,0.5568,0.5493,0.5425,0.5342,0.5624,0.5496,46.2
53,1034,285,20,5,0.5084,0.5218,0.5077,0.5198,0.5229,0.534,45.8
54,1019,300,19,6,0.4613,0.4409,0.4723,0.4512,0.4526,0.4257,46.2
55,1034,285,20,5,0.5352,0.5449,0.5103,0.5249,0.559,0.5703,46.4
56,1001,318,19,6,0.4828,0.4841,0.4912,0.4946,0.4716,0.473,45.2
57,1039,280,20,5,0.4881,0.4972,0.4777,0.4861,0.4839,0.4893,46.0
58,1049,270,20,5,0.503,0.4874,0.525,0.5154,0.4833,0.4659,46.7
59,1046,273,20,5,0.5157,0.485,0.5512,0.5193,0.516,0.481,45.9
60,1044,275,20,5,0.516,0.5199,0.5119,0.5175,0.4947,0.4945,45.8
61,1016,303,19,6,0.4964,0.5222,0.4978,0.5289,0.4608,0.4845,46.8
62,1018,301,19,6,0.4552,0.4613,0.4491,0.4567,0.4494,0.4708,46.2
63,1033,286,20,5,0.5718,0.5775,0.5335,0.5314,0.5887,0.5911,46.0
64,1050,269,20,5,0.5003,0.5017,0.5011,0.4964,0.4667,0.4698,46.3
65,1034,285,20,5,0.4362,0.4324,0.418,0.4138,0.4211,0.4082,46.0
66,1034,285,20,5,0.4659,0.4462,0.4165,0.4062,0.4945,0.4733,45.9
67,1050,269,20,5,0.5144,0.52,0.4988,0.5037,0.4994,0.4928,46.0
68,1017,302,19,6,0.4818,0.4903,0.457,0.4693,0.4312,0.4332,45.5
69,999,320,19,6,0.5296,0.5484,0.5407,0.5673,0.5117,0.5389,44.3
70,1040,279,20,5,0.491,0.4954,0.4933,0.5094,0.4776,0.4846,46.0
71,1004,315,19,6,0.5535,0.5563,0.5165,0.5243,0.5529,0.5557,45.0
72,1045,274,20,5,0.4672,0.4711,0.4801,0.483,0.4203,0.4275,46.8
73,1043,276,20,5,0.4998,0.5165,0.5224,0.5337,0.5254,0.5303,46.0
74,1042,277,20,5,0.4228,0.4442,0.4075,0.4355,0.415,0.4495,46.0
75,1044,275,20,5,0.3889,0.4012,0.3992,0.4189,0.3806,0.3938,45.7
76,1042,277,20,5,0.4771,0.5267,0.4696,0.5286,0.4502,0.503,46.4
77,1043,276,20,5,0.6017,0.5971,0.6137,0.6141,0.6007,0.6002,47.3
78,1022,297,19,6,0.5217,0.5139,0.5414,0.5353,0.5377,0.5344,45.7
79,1045,274,20,5,0.3105,0.3352,0.3262,0.3441,0.2798,0.3036,48.5
80,1008,311,19,6,0.4567,0.449,0.4744,0.4657,0.4677,0.4622,45.3
81,1037,282,20,5,0.4749,0.4983,0.4784,0.5086,0.4638,0.4973,45.7
82,1046,273,20,5,0.5491,0.5488,0.5565,0.5554,0.5321,0.5171,47.4
83,1042,277,20,5,0.5349,0.5333,0.5479,0.5431,0.5276,0.5206,46.2
84,1042,277,20,5,0.5202,0.5126,0.5337,0.5306,0.5394,0.5333,50.1
85,1023,296,19,6,0.6039,0.5842,0.5966,0.5798,0.5923,0.5794,47.2
86,1046,273,20,5,0.5354,0.5427,0.5416,0.5538,0.5207,0.5321,46.3
87,1036,283,20,5,0.5595,0.5568,0.5336,0.5307,0.5832,0.574,45.7
88,1048,271,20,5,0.4375,0.4611,0.4211,0.4422,0.4015,0.4169,45.8
89,1043,276,20,5,0.5226,0.5254,0.5128,0.5169,0.5283,0.5293,45.8
90,1003,316,19,6,0.4056,0.387,0.4075,0.3907,0.3809,0.3581,45.0
91,1036,283,20,5,0.4392,0.4667,0.437,0.4636,0.4123,0.4446,45.7
92,1001,318,19,6,0.4591,0.4546,0.468,0.4587,0.4749,0.459,44.9
93,1043,276,20,5,0.5188,0.5342,0.5217,0.5456,0.5001,0.5184,45.6
94,1054,265,20,5,0.5777,0.5486,0.5535,0.5233,0.5756,0.54,45.8
95,1017,302,19,6,0.5671,0.55,0.5517,0.5347,0.5551,0.5387,47.4
96,1038,281,20,5,0.5212,0.487,0.5184,0.4892,0.4809,0.4532,46.0
97,1046,273,20,5,0.5747,0.5881,0.5884,0.604,0.5772,0.5899,45.9
98,1047,272,20,5,0.4883,0.479,0.4865,0.4773,0.4768,0.4601,46.4
99,997,322,19,6,0.5551,0.5454,0.574,0.5698,0.5627,0.5515,42.6
100,1049,270,20,5,0.4711,0.4839,0.47,0.485,0.4719,0.4843,45.6
