seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
1,1050,269,20,5,0.469,0.4864,0.4686,0.4868,0.4548,0.4613,123.7
2,1006,313,19,6,0.5106,0.5327,0.5031,0.5317,0.5052,0.5246,47.0
3,1017,302,19,6,0.5125,0.4812,0.4985,0.4743,0.4732,0.453,46.2
4,1050,269,20,5,0.4806,0.4354,0.4606,0.4177,0.4842,0.4212,46.5
5,1051,268,20,5,0.5485,0.5544,0.5686,0.572,0.5481,0.5564,49.4
6,1044,275,20,5,0.3731,0.3693,0.3639,0.3586,0.3754,0.3775,46.5
7,1034,285,20,5,0.4349,0.4644,0.4451,0.4847,0.4227,0.4517,46.5
8,1047,272,20,5,0.5006,0.4827,0.4767,0.4634,0.4964,0.4755,46.8
9,1033,286,20,5,0.4451,0.4276,0.4131,0.3941,0.4629,0.4397,50.2
10,1034,285,20,5,0.4315,0.4613,0.4379,0.4787,0.4363,0.469,47.1
11,1043,276,20,5,0.4159,0.47,0.4132,0.4749,0.3797,0.4384,48.0
12,1045,274,20,5,0.3956,0.389,0.4118,0.4057,0.416,0.4178,46.6
13,1015,304,19,6,0.4326,0.4184,0.4665,0.4443,0.415,0.3946,46.7
14,1041,278,20,5,0.4221,0.4497,0.4378,0.4735,0.4369,0.4681,47.0
15,1043,276,20,5,0.4913,0.4937,0.494,0.5057,0.4733,0.4996,47.4
16,1042,277,20,5,0.4174,0.4372,0.4205,0.4434,0.4029,0.4228,47.3
17,1048,271,20,5,0.3991,0.4026,0.3899,0.3944,0.3994,0.3953,47.0
18,1038,281,20,5,0.4308,0.4194,0.4457,0.4351,0.4065,0.4047,46.5
19,1041,278,20,5,0.5767,0.5607,0.545,0.5309,0.5883,0.5674,48.9
20,1010,309,19,6,0.4695,0.4424,0.4714,0.4432,0.4737,0.4496,47.3
21,1038,281,20,5,0.4027,0.413,0.381,0.4011,0.417,0.435,47.1
22,1046,273,20,5,0.5198,0.4921,0.5287,0.5042,0.5168,0.4885,47.8
23,1046,273,20,5,0.5124,0.542,0.5244,0.559,0.4849,0.5245,47.6
24,1048,271,20,5,0.4503,0.4287,0.4562,0.447,0.4414,0.4374,46.8
25,1046,273,20,5,0.6343,0.6332,0.6457,0.6451,0.593,0.5871,47.1
26,1044,275,20,5,0.4924,0.5089,0.5004,0.5244,0.4659,0.4853,46.1
27,1016,303,19,6,0.4938,0.4727,0.5148,0.4867,0.5166,0.4914,46.2
28,1046,273,20,5,0.5678,0.5759,0.5671,0.5751,0.5752,0.5742,47.5
29,1046,273,20,5,0.4413,0.4647,0.4511,0.4814,0.4099,0.4341,48.3
30,1008,311,19,6,0.351,0.3741,0.3756,0.3955,0.3291,0.3434,45.7
