seed,n_train,n_test,n_families_train,n_families_test,gagblup_pearson,gagblup_spearman,bayesb_pearson,bayesb_spearman,gagblup_seconds,bayesb_seconds,wall_clock_seconds
1,1035,267,20,5,nan,nan,0.533510149516895,0.525757918690154,nan,451.67231297493,489.8
2,992,310,19,6,nan,nan,0.431914201050092,0.405763708960924,nan,448.321832418442,504.9
3,1004,298,19,6,nan,nan,0.476970055292636,0.513276077899118,nan,435.696002006531,479.1
4,1034,268,20,5,nan,nan,0.555400861475789,0.560288359216683,nan,445.681041002274,482.7
5,1039,263,20,5,nan,nan,0.586901630425583,0.5527188626392,nan,434.39838218689,471.5
6,1033,269,20,5,nan,nan,0.41201143650977,0.479947166114612,nan,420.223910093307,457.2
7,1021,281,20,5,nan,nan,0.472924115955185,0.478467346872462,nan,418.508881807327,455.9
8,1034,268,20,5,nan,nan,0.469359757705673,0.478088804353988,nan,438.706468343735,477.5
9,1020,282,20,5,nan,nan,0.492289265410056,0.503775641783216,nan,435.711238622665,473.2
10,1021,281,20,5,nan,nan,0.511208473442955,0.526895356282702,nan,444.248874425888,482.0
11,1029,273,20,5,nan,nan,0.623187329855573,0.589784300636023,nan,440.94001698494,479.0
12,1033,269,20,5,nan,nan,0.378878877379203,0.37328559583178,nan,431.225231170654,468.7
13,1002,300,19,6,nan,nan,0.357529982713616,0.369889277376888,nan,435.746331453323,473.4
14,1026,276,20,5,nan,nan,0.489455997367444,0.496576019282595,nan,453.316669940948,490.9
15,1031,271,20,5,nan,nan,0.57318648253429,0.540332767568622,nan,431.624298334122,469.1
16,1029,273,20,5,nan,nan,0.502883836215007,0.49117616311701,nan,431.098591089249,468.6
17,1035,267,20,5,nan,nan,0.319849219824371,0.319614387526307,nan,431.872838497162,469.3
18,1024,278,20,5,nan,nan,0.45375352292426,0.444255813045152,nan,424.775149345398,462.1
19,1028,274,20,5,nan,nan,0.500672994729386,0.52100796461839,nan,445.486000776291,483.3
20,998,304,19,6,nan,nan,0.470390040231805,0.470819630260861,nan,449.289223194122,486.5
21,1027,275,20,5,nan,nan,0.321674179298986,0.33802200059751,nan,434.572284698486,472.1
22,1035,267,20,5,nan,nan,0.432996590114123,0.415277362512284,nan,410.995359420776,449.1
23,1031,271,20,5,nan,nan,0.502433220879,0.537654315690578,nan,422.723739147186,460.7
24,1036,266,20,5,nan,nan,0.491924749395854,0.487111930916019,nan,440.045104265213,477.8
25,1033,269,20,5,nan,nan,0.546496744972796,0.51627108540062,nan,442.406653165817,480.3
26,1029,273,20,5,nan,nan,0.487993180206807,0.532335636780083,nan,417.063702344894,454.9
27,1002,300,19,6,nan,nan,0.497951129444702,0.505761642624424,nan,434.545203924179,471.7
28,1033,269,20,5,nan,nan,0.503959257405806,0.486360379436656,nan,445.166735172272,483.0
29,1033,269,20,5,nan,nan,0.529717195477942,0.579728965982561,nan,433.349258422852,470.8
30,995,307,19,6,nan,nan,0.513527837596709,0.469880328810373,nan,438.963686943054,475.5
31,1035,267,20,5,nan,nan,0.367691228603098,0.404397812381639,nan,445.802306413651,483.2
32,1030,272,20,5,nan,nan,0.425933650686428,0.436965386546724,nan,438.282157659531,475.6
33,1006,296,19,6,nan,nan,0.361192371729651,0.386492425788365,nan,441.633835792542,479.7
34,1008,294,19,6,nan,nan,0.231988726390322,0.272611632201625,nan,436.284732818604,473.3
35,1021,281,20,5,nan,nan,0.644559687716967,0.637705497220888,nan,446.462035894394,484.1
36,1005,297,19,6,nan,nan,0.560058341875092,0.554267592963398,nan,445.251154661179,482.4
37,1025,277,20,5,nan,nan,0.428229369710244,0.419339412112095,nan,431.035044431686,468.6
38,991,311,19,6,nan,nan,0.373123727918789,0.420529475704221,nan,454.124134063721,491.2
39,1028,274,20,5,nan,nan,0.516635160762264,0.504821683818096,nan,429.319463253021,467.0
40,1010,292,19,6,nan,nan,0.475835479174753,0.484003787492158,nan,430.883733987808,468.1
41,1031,271,20,5,nan,nan,0.468135418110462,0.462646959293864,nan,436.413129329681,474.6
42,991,311,19,6,nan,nan,0.318374247487199,0.412929290676292,nan,433.148874521255,470.2
43,1005,297,19,6,nan,nan,0.344657691481357,0.384852895018221,nan,415.241534471512,452.2
44,1024,278,20,5,nan,nan,0.416704190118525,0.415827590276247,nan,443.869555234909,481.4
45,1038,264,20,5,nan,nan,0.517798123641586,0.493789707538867,nan,434.836833000183,472.9
46,999,303,19,6,nan,nan,0.444120793011266,0.439856894260938,nan,449.840262889862,486.9
