seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
40,1021,294,19,6,0.5464,0.5401,0.57,0.5666,0.5546,0.5349,46.5
41,1041,274,20,5,0.5012,0.508,0.499,0.5078,0.5055,0.4974,46.0
42,1001,314,19,6,0.6341,0.6208,0.6386,0.6188,0.6257,0.6014,44.7
43,1015,300,19,6,0.5694,0.5726,0.5633,0.5764,0.582,0.5896,45.8
44,1033,282,20,5,0.5508,0.5428,0.5418,0.5258,0.5486,0.5361,45.8
45,1049,266,20,5,0.6601,0.6504,0.6654,0.6546,0.6538,0.6381,46.6
46,1009,306,19,6,0.5964,0.6101,0.5688,0.5813,0.5969,0.6023,44.9
47,1001,314,19,6,0.5913,0.5663,0.5716,0.5532,0.5886,0.5644,44.8
48,1037,278,20,5,0.5354,0.5458,0.5153,0.5275,0.5345,0.5453,46.5
49,1047,268,19,6,0.4893,0.4883,0.4818,0.4811,0.4654,0.4668,46.2
50,1021,294,19,6,0.5813,0.5732,0.5906,0.5892,0.5809,0.5781,45.8
51,1003,312,19,6,0.5859,0.595,0.5693,0.5758,0.5617,0.5605,45.1
52,1039,276,20,5,0.5999,0.5727,0.5886,0.5621,0.5761,0.5539,46.1
53,1031,284,20,5,0.6219,0.6115,0.6149,0.5993,0.6179,0.6056,45.7
54,1014,301,19,6,0.6333,0.6287,0.6223,0.6129,0.5961,0.5947,45.7
55,1030,285,20,5,0.542,0.5459,0.5266,0.5343,0.5572,0.5525,45.8
56,1000,315,19,6,0.6069,0.6022,0.6027,0.6009,0.5968,0.5933,42.6
57,1035,280,20,5,0.601,0.5904,0.5921,0.5871,0.5832,0.5701,46.1
58,1048,267,20,5,0.6181,0.6133,0.6108,0.602,0.5987,0.5951,46.3
59,1044,271,20,5,0.6018,0.6125,0.6153,0.6164,0.5956,0.5977,46.3
60,1041,274,20,5,0.6384,0.6367,0.6548,0.6527,0.6398,0.623,45.8
61,1011,304,19,6,0.5475,0.5545,0.5455,0.5413,0.5252,0.5323,46.6
62,1015,300,19,6,0.5778,0.574,0.5854,0.5908,0.5606,0.5461,45.7
63,1029,286,20,5,0.528,0.5323,0.506,0.5114,0.5314,0.525,45.8
64,1048,267,20,5,0.6665,0.6729,0.665,0.6825,0.665,0.6716,45.8
65,1031,284,20,5,0.6851,0.6551,0.6607,0.6318,0.6762,0.6447,47.1
66,1032,283,20,5,0.5367,0.5368,0.5008,0.5039,0.538,0.5398,45.8
67,1047,268,20,5,0.6375,0.6104,0.6421,0.6107,0.6417,0.6096,47.4
68,1013,302,19,6,0.588,0.588,0.595,0.5973,0.5843,0.5818,46.8
69,998,317,19,6,0.593,0.5862,0.5928,0.587,0.5788,0.562,44.2
70,1037,278,20,5,0.5777,0.5617,0.5801,0.5645,0.5932,0.5662,46.7
71,999,316,19,6,0.546,0.5247,0.5177,0.4955,0.5474,0.5164,43.5
72,1042,273,20,5,0.5744,0.5726,0.5646,0.566,0.5826,0.5863,48.7
73,1040,275,20,5,0.6305,0.5915,0.6261,0.5857,0.6262,0.584,50.2
74,1039,276,20,5,0.5851,0.5898,0.581,0.5934,0.59,0.592,46.6
75,1040,275,20,5,0.582,0.5822,0.5811,0.5836,0.5589,0.5633,46.3
76,1038,277,20,5,0.6187,0.6348,0.6168,0.6356,0.6004,0.608,47.0
77,1041,274,20,5,0.5956,0.5816,0.5989,0.5786,0.5725,0.5543,46.1
78,1019,296,19,6,0.5555,0.5678,0.5548,0.5656,0.5397,0.5518,45.8
79,1042,273,20,5,0.6107,0.6035,0.6097,0.5992,0.5901,0.5875,53.2
80,1003,312,19,6,0.564,0.5718,0.5739,0.5818,0.5589,0.5656,45.3
81,1034,281,20,5,0.5778,0.5782,0.5831,0.5963,0.5642,0.5655,46.1
82,1042,273,20,5,0.5829,0.5474,0.5577,0.5314,0.5782,0.5503,46.3
83,1038,277,20,5,0.5806,0.5666,0.5885,0.5709,0.5892,0.5776,46.1
84,1040,275,20,5,0.629,0.6114,0.643,0.6269,0.6281,0.5957,45.7
85,1022,293,19,6,0.5898,0.5651,0.5946,0.5662,0.5836,0.5539,45.4
86,1042,273,20,5,0.608,0.5895,0.598,0.5796,0.5837,0.5644,45.9
87,1032,283,20,5,0.5733,0.5808,0.5577,0.5664,0.5608,0.5521,46.1
88,1044,271,20,5,0.6725,0.6884,0.6728,0.6889,0.6583,0.6686,45.6
89,1039,276,20,5,0.5786,0.5606,0.5743,0.5529,0.567,0.5436,48.8
90,999,316,19,6,0.6088,0.6091,0.5939,0.6027,0.5941,0.5987,42.6
91,1032,283,20,5,0.5935,0.5962,0.5808,0.591,0.6065,0.6062,45.4
92,997,318,19,6,0.5246,0.5104,0.5162,0.51,0.5276,0.5157,42.4
93,1039,276,20,5,0.651,0.6371,0.6455,0.6379,0.6358,0.6116,45.8
94,1050,265,20,5,0.6672,0.6529,0.6401,0.6207,0.6316,0.6159,46.1
95,1014,301,19,6,0.6263,0.6315,0.6275,0.6291,0.6176,0.6264,45.7
96,1036,279,20,5,0.6224,0.5962,0.6285,0.596,0.6167,0.5917,45.8
97,1045,270,20,5,0.6711,0.6865,0.6805,0.7008,0.6756,0.6793,45.7
98,1044,271,20,5,0.7108,0.6927,0.7162,0.6974,0.6862,0.6688,46.0
99,994,321,19,6,0.6456,0.6303,0.6342,0.6154,0.6363,0.6199,42.4
100,1045,270,20,5,0.5892,0.5929,0.5956,0.6037,0.593,0.5899,47.2
