seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
1,1046,269,20,5,0.6355,0.6384,0.642,0.6497,0.6497,0.6491,123.7
2,1002,313,19,6,0.5932,0.5962,0.5834,0.5843,0.5888,0.5824,44.7
3,1015,300,19,6,0.626,0.6109,0.6126,0.5907,0.6292,0.613,45.5
4,1047,268,20,5,0.672,0.6568,0.6673,0.6512,0.6559,0.6555,45.8
5,1050,265,20,5,0.6195,0.6195,0.6233,0.6231,0.6172,0.613,46.1
6,1040,275,20,5,0.5066,0.4957,0.4871,0.4896,0.4965,0.4981,45.7
7,1030,285,20,5,0.5661,0.5661,0.5623,0.5623,0.5524,0.5532,51.7
8,1046,269,20,5,0.6544,0.6388,0.6317,0.622,0.6419,0.6213,47.8
9,1029,286,20,5,0.5062,0.4955,0.4798,0.4706,0.5169,0.5035,51.2
10,1030,285,20,5,0.5603,0.5712,0.5582,0.5728,0.5451,0.5551,47.2
11,1040,275,20,5,0.5622,0.5684,0.5636,0.573,0.5462,0.5424,45.8
12,1043,272,20,5,0.5529,0.5411,0.5612,0.552,0.5591,0.5478,46.0
13,1011,304,19,6,0.5822,0.5836,0.5811,0.579,0.5713,0.5742,45.6
14,1037,278,20,5,0.5427,0.5644,0.5401,0.5587,0.5521,0.5631,47.0
15,1040,275,20,5,0.5043,0.5119,0.4991,0.5034,0.488,0.4903,47.7
16,1040,275,20,5,0.6511,0.6523,0.6558,0.655,0.6555,0.6519,45.6
17,1047,268,20,5,0.5796,0.5721,0.5778,0.577,0.5851,0.5718,46.0
18,1036,279,20,5,0.6078,0.5944,0.6066,0.5987,0.6259,0.6125,46.5
19,1038,277,20,5,0.6303,0.6257,0.6127,0.6072,0.6341,0.6244,46.0
20,1007,308,19,6,0.5546,0.549,0.531,0.5231,0.5556,0.5541,45.5
21,1036,279,20,5,0.5395,0.5611,0.5237,0.5484,0.5319,0.5467,45.9
22,1045,270,20,5,0.5373,0.5324,0.5314,0.5276,0.5341,0.5407,48.4
23,1043,272,20,5,0.5569,0.5602,0.5672,0.5662,0.5688,0.5601,47.5
24,1045,270,20,5,0.4916,0.4838,0.4737,0.4832,0.497,0.4981,46.7
25,1043,272,20,5,0.5834,0.5654,0.587,0.5646,0.5836,0.5591,46.2
26,1040,275,20,5,0.6173,0.6188,0.6319,0.6257,0.6071,0.6018,46.4
27,1013,302,19,6,0.6287,0.6269,0.6257,0.6266,0.62,0.6114,45.4
28,1043,272,20,5,0.6043,0.5701,0.6066,0.5634,0.6112,0.5764,46.2
29,1043,272,20,5,0.6283,0.6275,0.6211,0.6324,0.6211,0.6266,46.2
30,1006,309,19,6,0.5871,0.5829,0.6073,0.5963,0.5989,0.5889,45.1
31,1044,271,20,5,0.4944,0.4955,0.4763,0.4847,0.5118,0.5168,45.9
32,1044,271,20,5,0.6532,0.6407,0.661,0.6508,0.6617,0.6501,45.7
33,1016,299,19,6,0.532,0.5034,0.5169,0.4934,0.5359,0.5041,45.6
34,1019,296,19,6,0.5621,0.506,0.5769,0.5218,0.5629,0.5047,45.6
35,1031,284,20,5,0.6328,0.6396,0.6265,0.6384,0.625,0.6281,46.2
36,1016,299,19,6,0.62,0.62,0.6295,0.6234,0.624,0.6151,45.5
37,1034,281,20,5,0.4662,0.4805,0.478,0.5105,0.5147,0.5202,46.4
38,1000,315,19,6,0.6428,0.6132,0.6275,0.5908,0.6264,0.5953,43.0
39,1039,276,20,5,0.5383,0.5417,0.5301,0.5339,0.5413,0.5283,45.9
