seed,n_train,n_test,n_families_train,n_families_test,gagblup_pearson,gagblup_spearman,bayesb_pearson,bayesb_spearman,gagblup_seconds,bayesb_seconds,wall_clock_seconds
1,1049,269,20,5,nan,nan,0.592961025178942,0.59904751042937,nan,400.747285842896,439.0
2,1005,313,19,6,nan,nan,0.613888410277022,0.614635170506131,nan,402.823488712311,441.4
3,1015,303,19,6,nan,nan,0.57033448466923,0.529556879485633,nan,408.939356803894,448.2
4,1050,268,20,5,nan,nan,0.6112296758037,0.602466862227979,nan,401.922152996063,439.2
5,1051,267,20,5,nan,nan,0.406513768156108,0.412331152062289,nan,421.88285446167,459.4
6,1043,275,20,5,nan,nan,0.413688061157521,0.397929540801049,nan,417.443196296692,454.9
7,1033,285,20,5,nan,nan,0.376179245092262,0.487918695338508,nan,422.419291734695,460.5
8,1047,271,20,5,nan,nan,0.632803263742483,0.589691434625454,nan,419.568337202072,457.3
9,1032,286,20,5,nan,nan,0.486218841572459,0.458262928573179,nan,394.438933134079,431.8
10,1033,285,20,5,nan,nan,0.498122313532963,0.561807922492835,nan,397.883440971375,436.0
11,1043,275,20,5,nan,nan,0.557149568191257,0.564100714684799,nan,390.485714912415,428.2
12,1044,274,20,5,nan,nan,0.439469237501859,0.428400608156038,nan,385.410169839859,423.1
13,1014,304,19,6,nan,nan,0.439908374728101,0.429248470426721,nan,420.288614273071,457.6
14,1040,278,20,5,nan,nan,0.602159222942301,0.61182422648899,nan,403.017137050629,440.8
15,1042,276,20,5,nan,nan,0.511543655868674,0.524649290137052,nan,418.553173780441,456.0
16,1041,277,20,5,nan,nan,0.47627829369595,0.491410439368142,nan,403.390043497086,440.9
17,1048,270,20,5,nan,nan,0.552068119328807,0.531175415048751,nan,399.110414266586,438.0
18,1038,280,20,5,nan,nan,0.606913489066608,0.602152077683474,nan,385.1158182621,425.8
19,1040,278,20,5,nan,nan,0.621371026229647,0.597139496334331,nan,433.559495210648,471.3
20,1008,310,19,6,nan,nan,0.552942437450681,0.486190811869049,nan,410.21813750267,447.5
21,1037,281,20,5,nan,nan,0.364307318484374,0.385873638419479,nan,411.490602493286,449.4
22,1045,273,20,5,nan,nan,0.473952936395673,0.465342067402367,nan,407.27272439003,445.2
23,1045,273,20,5,nan,nan,0.640279366138526,0.64548479252512,nan,405.332397222519,443.2
