seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
1,1032,262,20,5,0.5518,0.5213,0.5261,0.5134,0.5311,0.5007,123.6
2,984,310,19,6,0.4755,0.467,0.5231,0.507,0.4794,0.4572,42.2
3,999,295,19,6,0.5273,0.5039,0.5389,0.5182,0.5255,0.5115,41.8
4,1032,262,20,5,0.5611,0.5474,0.5556,0.5494,0.5557,0.5319,45.0
5,1033,261,20,5,0.4636,0.4569,0.4793,0.4704,0.4424,0.4451,45.3
6,1024,270,20,5,0.5039,0.4948,0.4829,0.485,0.4667,0.4561,45.4
7,1013,281,20,5,0.6033,0.5793,0.5953,0.5649,0.5594,0.527,44.7
8,1029,265,20,5,0.4385,0.4274,0.4537,0.4453,0.4585,0.4361,45.6
9,1011,283,20,5,0.4595,0.4421,0.4554,0.4393,0.4587,0.4291,44.9
10,1013,281,20,5,0.5912,0.5812,0.6007,0.5952,0.5732,0.5651,46.2
11,1020,274,20,5,0.4729,0.4987,0.4565,0.4857,0.4811,0.4987,45.1
12,1024,270,20,5,0.579,0.5789,0.5818,0.5691,0.5509,0.5417,45.3
13,994,300,19,6,0.5935,0.5705,0.582,0.5655,0.5634,0.544,43.9
14,1019,275,20,5,0.6011,0.5681,0.5937,0.5651,0.5946,0.562,48.5
15,1024,270,20,5,0.5993,0.5873,0.5963,0.5883,0.5821,0.565,46.1
16,1023,271,20,5,0.5085,0.4762,0.4954,0.4656,0.4911,0.4621,50.5
17,1027,267,20,5,0.4792,0.4526,0.4969,0.4613,0.4693,0.4362,46.8
18,1017,277,20,5,0.5977,0.5895,0.6129,0.5952,0.5928,0.5763,44.8
19,1023,271,20,5,0.5718,0.5837,0.5903,0.6061,0.5941,0.5969,47.7
20,989,305,19,6,0.4919,0.4818,0.5101,0.5002,0.4923,0.4722,46.4
21,1018,276,20,5,0.5563,0.5233,0.5458,0.5102,0.5129,0.4767,45.0
22,1026,268,20,5,0.5823,0.5493,0.5823,0.5416,0.5784,0.5366,45.4
23,1026,268,20,5,0.5303,0.5184,0.5172,0.5142,0.5319,0.5213,49.8
24,1029,265,20,5,0.5236,0.505,0.5437,0.5171,0.5256,0.4881,46.9
25,1028,266,20,5,0.5102,0.4946,0.5566,0.5384,0.5106,0.5011,45.2
26,1024,270,20,5,0.5433,0.5458,0.5442,0.5507,0.5276,0.533,45.1
27,998,296,19,6,0.515,0.5176,0.5281,0.5243,0.472,0.4764,44.0
28,1025,269,20,5,0.5272,0.5167,0.5384,0.5268,0.5083,0.4958,45.0
29,1027,267,20,5,0.5841,0.587,0.5625,0.5695,0.5774,0.5699,47.0
30,986,308,19,6,0.4672,0.4844,0.4751,0.4973,0.466,0.4923,41.7
31,1029,265,20,5,0.567,0.5676,0.5633,0.5606,0.5306,0.5267,45.3
32,1025,269,20,5,0.5059,0.5015,0.5162,0.5035,0.5056,0.4949,45.4
33,999,295,19,6,0.5255,0.4924,0.5403,0.5034,0.513,0.485,43.1
34,1000,294,19,6,0.545,0.5477,0.545,0.5555,0.5194,0.5288,41.9
35,1013,281,20,5,0.5352,0.5434,0.5259,0.5473,0.5155,0.5226,44.9
36,1000,294,19,6,0.5173,0.495,0.4909,0.4647,0.5045,0.4777,42.6
37,1016,278,20,5,0.4744,0.4822,0.4778,0.4798,0.4533,0.4429,45.2
38,982,312,19,6,0.4942,0.4925,0.5148,0.5156,0.4717,0.4604,42.5
39,1020,274,20,5,0.4149,0.4118,0.4279,0.4195,0.4195,0.4131,45.4
40,1004,290,19,6,0.5236,0.5309,0.4875,0.4966,0.4873,0.4939,44.4
41,1022,272,20,5,0.4442,0.4744,0.436,0.4747,0.4242,0.457,46.0
42,984,310,19,6,0.4978,0.478,0.5029,0.4865,0.4822,0.4602,42.6
43,997,297,19,6,0.5048,0.4977,0.5099,0.4955,0.4929,0.4862,42.3
