seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
44,1015,279,20,5,0.5672,0.5704,0.5819,0.5834,0.5603,0.5598,44.9
45,1034,260,20,5,0.5338,0.5172,0.5498,0.5421,0.5395,0.5245,44.9
46,992,302,19,6,0.6088,0.6032,0.5921,0.5841,0.5859,0.5633,41.8
47,984,310,19,6,0.4489,0.4351,0.4806,0.4615,0.4385,0.4039,41.8
48,1019,275,20,5,0.5693,0.5213,0.5624,0.519,0.5759,0.5325,45.0
49,1033,261,19,6,0.5031,0.5131,0.4883,0.501,0.5007,0.5056,44.9
50,1009,285,19,6,0.5334,0.5506,0.5445,0.5565,0.5252,0.5236,44.5
51,987,307,19,6,0.5594,0.5513,0.5463,0.5508,0.5543,0.5506,42.1
52,1022,272,20,5,0.441,0.44,0.4513,0.4497,0.4329,0.4244,45.0
53,1012,282,20,5,0.6248,0.6148,0.6402,0.6316,0.6005,0.6019,43.9
54,1002,292,19,6,0.564,0.5529,0.5171,0.5265,0.5503,0.5231,44.0
55,1013,281,20,5,0.5604,0.5628,0.5646,0.5666,0.5433,0.5466,44.5
56,985,309,19,6,0.5405,0.519,0.524,0.5193,0.5702,0.5521,46.1
57,1018,276,20,5,0.4961,0.5182,0.482,0.5071,0.487,0.5007,45.2
58,1030,264,20,5,0.4722,0.4507,0.4398,0.4311,0.4485,0.4381,45.1
59,1029,265,20,5,0.4837,0.5004,0.4525,0.4851,0.442,0.4709,46.5
60,1024,270,20,5,0.5427,0.5263,0.5723,0.5518,0.523,0.4892,45.4
61,995,299,19,6,0.4594,0.4551,0.464,0.4701,0.4573,0.4494,42.3
62,997,297,19,6,0.4722,0.5127,0.4704,0.5079,0.4588,0.4951,42.1
63,1012,282,20,5,0.573,0.5774,0.5935,0.593,0.5688,0.5637,49.9
64,1034,260,20,5,0.5897,0.5716,0.5828,0.5568,0.5434,0.5289,44.8
65,1012,282,20,5,0.6021,0.596,0.5895,0.5813,0.6186,0.5886,44.1
66,1012,282,20,5,0.5029,0.4279,0.4827,0.4092,0.5004,0.4205,44.2
67,1031,263,20,5,0.5057,0.5103,0.5316,0.5388,0.485,0.48,45.3
68,1000,294,19,6,0.4938,0.4991,0.4962,0.5064,0.4739,0.4744,42.1
69,983,311,19,6,0.447,0.4484,0.4391,0.446,0.4174,0.429,42.3
70,1018,276,20,5,0.5087,0.4631,0.5064,0.4724,0.4928,0.4643,45.6
71,983,311,19,6,0.4508,0.4395,0.4762,0.4716,0.4424,0.4236,43.2
72,1026,268,20,5,0.5641,0.5364,0.547,0.5247,0.5831,0.5514,47.4
73,1022,272,20,5,0.5371,0.5315,0.5603,0.5463,0.5091,0.4995,47.6
74,1021,273,20,5,0.5764,0.5681,0.5945,0.5829,0.5648,0.5351,46.0
75,1025,269,20,5,0.6452,0.5984,0.6284,0.5742,0.5835,0.5349,49.0
76,1022,272,20,5,0.5609,0.5528,0.5736,0.5628,0.5397,0.5158,46.9
77,1024,270,20,5,0.5074,0.508,0.5394,0.5389,0.5051,0.5252,45.4
78,1004,290,19,6,0.5825,0.5651,0.5817,0.5641,0.5578,0.5449,47.4
79,1024,270,20,5,0.5596,0.5711,0.551,0.5615,0.5305,0.5452,45.9
80,989,305,19,6,0.5845,0.5766,0.5628,0.566,0.5635,0.5437,42.1
81,1018,276,20,5,0.5131,0.5218,0.5051,0.5287,0.4746,0.49,57.8
82,1026,268,20,5,0.5327,0.5078,0.5436,0.5098,0.532,0.492,45.7
83,1021,273,20,5,0.651,0.6224,0.6654,0.6228,0.6371,0.6055,45.4
84,1023,271,20,5,0.432,0.4149,0.4291,0.4161,0.4134,0.398,45.6
85,1005,289,19,6,0.4667,0.4514,0.4896,0.4719,0.4616,0.4482,44.7
86,1027,267,20,5,0.5692,0.5516,0.5914,0.5721,0.5563,0.554,45.4
87,1016,278,20,5,0.5729,0.5889,0.5677,0.5881,0.542,0.5491,45.8
88,1030,264,20,5,0.6036,0.5861,0.57,0.5575,0.5831,0.5587,45.3
89,1024,270,20,5,0.589,0.5788,0.5858,0.5801,0.5863,0.5825,45.4
90,987,307,19,6,0.6465,0.6244,0.653,0.6322,0.65,0.6197,41.2
91,1015,279,20,5,0.5297,0.521,0.5173,0.5074,0.4956,0.4784,44.4
92,983,311,19,6,0.5306,0.5099,0.5434,0.5225,0.5337,0.4893,42.3
93,1023,271,20,5,0.5654,0.5695,0.593,0.6002,0.5575,0.5606,45.1
94,991,303,19,6,0.6251,0.624,0.6418,0.6449,0.6537,0.6453,42.0
95,1001,293,19,6,0.501,0.5118,0.5002,0.5226,0.4854,0.5042,44.0
96,1018,276,20,5,0.4914,0.4942,0.4806,0.4999,0.451,0.4582,45.2
97,1029,265,20,5,0.4927,0.4739,0.518,0.508,0.4971,0.4827,45.4
98,1029,265,20,5,0.6525,0.6501,0.6659,0.6702,0.6223,0.6141,45.6
99,981,313,19,6,0.5272,0.5215,0.5597,0.5578,0.5263,0.5316,41.9
100,1031,263,20,5,0.5875,0.5628,0.5951,0.5664,0.5673,0.5323,45.2
