seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
80,1089,274,20,5,0.7246,0.7609,0.7227,0.7604,0.7374,0.7666,49.8
81,1073,290,20,5,0.7557,0.7634,0.7439,0.746,0.7728,0.7789,51.9
82,1086,277,20,5,0.6686,0.6997,0.6655,0.6957,0.673,0.7141,46.3
83,1074,289,20,5,0.5854,0.5763,0.5794,0.5735,0.5933,0.5961,45.6
84,1078,285,20,5,0.7655,0.7702,0.752,0.7496,0.779,0.7764,47.6
85,1061,302,19,6,0.6245,0.6165,0.599,0.5781,0.6392,0.6301,51.9
86,1083,280,20,5,0.5777,0.5734,0.5888,0.578,0.6327,0.6392,47.1
87,1066,297,20,5,0.7127,0.7234,0.7094,0.7226,0.7322,0.7453,48.8
88,1084,279,20,5,0.7007,0.6872,0.714,0.6915,0.7285,0.6968,48.3
89,1078,285,20,5,0.7021,0.6953,0.6944,0.6929,0.7263,0.7223,47.3
90,1042,321,19,6,0.6772,0.6959,0.6714,0.69,0.6856,0.707,50.0
91,1071,292,20,5,0.7909,0.7941,0.7857,0.7887,0.7902,0.7928,46.0
92,1045,318,19,6,0.7362,0.7576,0.7267,0.738,0.7402,0.7567,46.6
93,1081,282,20,5,0.672,0.6774,0.6667,0.6619,0.7057,0.7108,46.7
94,1050,313,19,6,0.6269,0.637,0.6255,0.6294,0.6423,0.6494,48.9
95,1055,308,19,6,0.6753,0.6963,0.6803,0.6979,0.7013,0.7189,49.8
96,1066,297,20,5,0.6041,0.6287,0.6058,0.6202,0.6265,0.6524,47.7
97,1085,278,20,5,0.7441,0.759,0.7403,0.7456,0.7396,0.7555,48.4
98,1081,282,20,5,0.6316,0.6499,0.6399,0.6482,0.625,0.6318,46.4
99,1036,327,19,6,0.6509,0.6648,0.6431,0.6609,0.6756,0.7052,48.5
100,1040,323,19,6,0.7038,0.7199,0.7117,0.7172,0.7106,0.7115,46.9
