seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
1,1049,269,20,5,0.5877,0.5961,0.5983,0.6118,0.5716,0.5988,123.7
2,1005,313,19,6,0.5915,0.5994,0.586,0.5972,0.5712,0.581,45.4
3,1015,303,19,6,0.53,0.4663,0.538,0.477,0.5493,0.4971,45.7
4,1050,268,20,5,0.6171,0.6139,0.6171,0.6154,0.6103,0.6081,45.7
5,1051,267,20,5,0.5365,0.507,0.5274,0.4967,0.5015,0.4753,45.7
6,1043,275,20,5,0.4494,0.4709,0.4412,0.4557,0.4134,0.4173,45.5
7,1033,285,20,5,0.5187,0.5363,0.5343,0.5496,0.4984,0.5251,51.4
8,1047,271,20,5,0.6055,0.5799,0.5751,0.5534,0.5973,0.5692,47.8
9,1032,286,20,5,0.446,0.4326,0.4199,0.4145,0.422,0.4171,51.4
10,1033,285,20,5,0.531,0.541,0.5439,0.5548,0.5203,0.5333,47.0
11,1043,275,20,5,0.5599,0.5738,0.5503,0.5751,0.5278,0.5446,45.8
12,1044,274,20,5,0.4341,0.4065,0.4442,0.4203,0.413,0.3986,46.0
13,1014,304,19,6,0.4797,0.4618,0.5057,0.4776,0.4582,0.4403,46.7
14,1040,278,20,5,0.5953,0.5955,0.5854,0.5928,0.576,0.5893,46.0
15,1042,276,20,5,0.5013,0.5407,0.4776,0.5202,0.4798,0.5265,47.9
16,1041,277,20,5,0.4509,0.4429,0.4514,0.4476,0.3999,0.4143,45.8
17,1048,270,20,5,0.5641,0.5485,0.5749,0.5509,0.5806,0.5609,46.1
18,1038,280,20,5,0.5745,0.5547,0.5669,0.567,0.5487,0.5518,46.3
19,1040,278,20,5,0.5302,0.495,0.4738,0.4649,0.5561,0.5263,46.0
20,1008,310,19,6,0.496,0.4364,0.4796,0.4311,0.5456,0.4876,45.4
21,1037,281,20,5,0.4496,0.462,0.4499,0.4599,0.4439,0.4705,46.1
22,1045,273,20,5,0.4514,0.4442,0.4659,0.4641,0.4612,0.4554,48.5
23,1045,273,20,5,0.598,0.5881,0.6058,0.6015,0.5922,0.5925,47.4
24,1047,271,20,5,0.5111,0.5228,0.4792,0.5078,0.4671,0.4951,46.8
25,1046,272,20,5,0.5476,0.5561,0.5401,0.5422,0.5391,0.5477,46.3
26,1043,275,20,5,0.629,0.6156,0.6223,0.61,0.6087,0.5861,46.4
27,1014,304,19,6,0.5313,0.4695,0.5488,0.4831,0.5524,0.4858,45.3
28,1046,272,20,5,0.5697,0.5483,0.5429,0.5213,0.5599,0.5364,46.2
29,1046,272,20,5,0.5277,0.571,0.5181,0.5682,0.4878,0.5396,46.2
30,1008,310,19,6,0.5948,0.5856,0.5904,0.5925,0.5676,0.5588,45.3
31,1047,271,20,5,0.4,0.4273,0.3951,0.4167,0.3546,0.3835,46.1
32,1044,274,20,5,0.6508,0.5991,0.6509,0.6037,0.6381,0.5946,45.7
33,1019,299,19,6,0.5513,0.5406,0.5365,0.5296,0.557,0.553,45.4
34,1022,296,19,6,0.558,0.5075,0.5761,0.5175,0.5626,0.507,46.6
35,1034,284,20,5,0.5365,0.574,0.523,0.5684,0.4982,0.5395,45.9
36,1017,301,19,6,0.4994,0.4928,0.4995,0.4969,0.4769,0.4804,45.8
37,1037,281,20,5,0.5005,0.4878,0.4927,0.4863,0.4517,0.4513,46.0
38,1003,315,19,6,0.5897,0.5871,0.5828,0.5845,0.5607,0.5589,45.1
39,1040,278,20,5,0.511,0.5129,0.5028,0.4996,0.5277,0.5264,46.0
40,1024,294,19,6,0.543,0.5185,0.5502,0.5285,0.5084,0.486,45.6
41,1044,274,20,5,0.5085,0.5039,0.5037,0.4987,0.4853,0.476,45.8
42,1003,315,19,6,0.574,0.5674,0.5744,0.5578,0.56,0.5454,44.6
