seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
1,1038,268,20,5,0.3749,0.3768,0.4142,0.4155,0.3849,0.3869,123.7
2,995,311,19,6,0.3769,0.4414,0.4097,0.4774,0.3744,0.4421,43.1
3,1007,299,19,6,0.4387,0.4496,0.4574,0.4773,0.4456,0.4659,46.5
4,1037,269,20,5,0.3191,0.3554,0.3154,0.3536,0.3215,0.3649,47.1
5,1043,263,20,5,0.4685,0.4613,0.447,0.435,0.4639,0.4499,46.9
6,1035,271,20,5,0.4562,0.4684,0.4385,0.4671,0.4365,0.464,45.5
7,1023,283,20,5,0.4225,0.425,0.4055,0.4023,0.4344,0.4279,50.8
8,1036,270,20,5,0.4228,0.4532,0.4323,0.4648,0.4084,0.4435,47.7
9,1022,284,20,5,0.5103,0.5194,0.4871,0.5093,0.462,0.4729,53.1
10,1023,283,20,5,0.3684,0.3613,0.3449,0.331,0.3809,0.3749,46.0
11,1033,273,20,5,0.396,0.423,0.4091,0.4302,0.4036,0.4223,48.6
12,1037,269,20,5,0.4207,0.4421,0.4297,0.4523,0.4353,0.4604,46.1
13,1006,300,19,6,0.4407,0.4401,0.4448,0.4522,0.463,0.4636,48.0
14,1030,276,20,5,0.3675,0.3799,0.3984,0.408,0.4109,0.4324,46.1
15,1034,272,20,5,0.3435,0.3832,0.294,0.3308,0.358,0.399,46.9
16,1032,274,20,5,0.4579,0.4735,0.4604,0.4852,0.438,0.4573,48.1
17,1039,267,20,5,0.3482,0.3641,0.3778,0.3926,0.33,0.3659,46.5
18,1028,278,20,5,0.4172,0.483,0.4155,0.4978,0.3857,0.4647,48.3
19,1030,276,20,5,0.5147,0.5114,0.5326,0.5249,0.534,0.5303,48.1
20,1000,306,19,6,0.4172,0.4259,0.4348,0.4377,0.4601,0.4734,43.1
21,1029,277,20,5,0.4118,0.4191,0.4141,0.4243,0.3926,0.3944,49.5
22,1039,267,20,5,0.4104,0.4334,0.4457,0.4761,0.4076,0.4277,47.5
23,1035,271,20,5,0.4627,0.471,0.4834,0.4981,0.485,0.4921,46.3
24,1038,268,20,5,0.4291,0.4607,0.4359,0.4774,0.4089,0.4473,45.9
25,1037,269,20,5,0.4989,0.5189,0.4879,0.5134,0.4435,0.465,45.9
26,1033,273,20,5,0.4388,0.4443,0.4409,0.4616,0.5061,0.5165,46.0
27,1006,300,19,6,0.3947,0.3881,0.4046,0.4055,0.4329,0.4295,45.6
28,1036,270,20,5,0.5337,0.551,0.5375,0.5544,0.5032,0.5166,46.0
29,1035,271,20,5,0.417,0.4661,0.3974,0.4457,0.4083,0.4486,45.8
30,998,308,19,6,0.3907,0.4398,0.3879,0.4351,0.3541,0.417,42.5
31,1037,269,20,5,0.4243,0.4652,0.4071,0.4727,0.379,0.4222,46.0
32,1034,272,20,5,0.3719,0.4197,0.3851,0.4317,0.365,0.4084,53.2
33,1008,298,19,6,0.497,0.5052,0.509,0.5279,0.5384,0.5453,50.6
34,1012,294,19,6,0.3791,0.4269,0.3986,0.4548,0.3824,0.4406,44.7
35,1024,282,20,5,0.4176,0.4655,0.3754,0.4149,0.4031,0.4354,45.6
36,1007,299,19,6,0.4671,0.4862,0.4697,0.4997,0.4555,0.4705,50.6
37,1028,278,20,5,0.3736,0.4068,0.3712,0.4215,0.3364,0.3637,45.8
38,994,312,19,6,0.3945,0.4359,0.4106,0.4564,0.3971,0.4457,42.6
39,1031,275,20,5,0.4331,0.4186,0.4226,0.4263,0.4332,0.4061,46.2
40,1013,293,19,6,0.4291,0.4357,0.4426,0.4493,0.4174,0.4226,47.5
41,1034,272,20,5,0.4005,0.4047,0.4116,0.4246,0.3851,0.3825,47.1
42,994,312,19,6,0.4848,0.5119,0.5037,0.5364,0.4911,0.522,43.0
43,1007,299,19,6,0.4501,0.4872,0.4333,0.4754,0.4457,0.4737,46.4
44,1027,279,20,5,0.4332,0.4367,0.4212,0.4208,0.4659,0.4722,46.3
45,1042,264,20,5,0.5182,0.5422,0.5373,0.5629,0.5309,0.5563,45.9
46,1001,305,19,6,0.4147,0.4089,0.4033,0.404,0.4112,0.4172,45.2
47,993,313,19,6,0.4479,0.4727,0.4633,0.4904,0.4211,0.444,44.2
48,1029,277,20,5,0.4186,0.4197,0.404,0.4099,0.412,0.4295,46.5
49,1039,267,19,6,0.4221,0.4168,0.4297,0.4271,0.4116,0.3961,47.8
50,1013,293,19,6,0.304,0.323,0.3361,0.3555,0.3307,0.3523,45.5
51,999,307,19,6,0.408,0.4198,0.4334,0.4506,0.4104,0.4427,42.6
52,1032,274,20,5,0.5224,0.5521,0.5074,0.5505,0.497,0.5135,45.5
53,1024,282,20,5,0.3785,0.4235,0.3778,0.4201,0.4047,0.4501,46.2
54,1008,298,19,6,0.4142,0.4157,0.4506,0.4483,0.4275,0.4297,47.0
55,1024,282,20,5,0.444,0.4611,0.4112,0.4312,0.4452,0.4517,45.3
56,992,314,19,6,0.424,0.4325,0.4398,0.4438,0.3991,0.3957,43.4
57,1028,278,20,5,0.4038,0.4362,0.3974,0.432,0.388,0.4096,45.6
58,1042,264,20,5,0.4599,0.4302,0.4787,0.4427,0.437,0.4115,45.7
59,1038,268,20,5,0.5492,0.5694,0.5413,0.5795,0.5336,0.5648,46.1
60,1033,273,20,5,0.392,0.4374,0.4091,0.4516,0.3821,0.4216,45.8
61,1006,300,19,6,0.3952,0.39,0.4435,0.4374,0.3938,0.3935,45.2
62,1008,298,19,6,0.3964,0.4257,0.3914,0.4325,0.3931,0.4157,44.5
63,1023,283,20,5,0.4708,0.4837,0.4299,0.4511,0.4407,0.4474,46.6
64,1040,266,20,5,0.485,0.4981,0.4646,0.4804,0.4664,0.4701,45.6
65,1021,285,20,5,0.4171,0.4637,0.4248,0.4689,0.4183,0.464,46.3
66,1024,282,20,5,0.4822,0.4849,0.4825,0.4857,0.4946,0.4993,48.2
67,1038,268,20,5,0.3745,0.4238,0.3932,0.4384,0.389,0.4429,45.9
68,1004,302,19,6,0.3354,0.3592,0.3318,0.3542,0.3314,0.3591,46.1
69,991,315,19,6,0.3331,0.301,0.3241,0.3046,0.3623,0.3263,44.5
70,1029,277,20,5,0.497,0.5053,0.5259,0.5305,0.5247,0.5289,45.6
