seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
71,992,314,19,6,0.4844,0.4941,0.4736,0.4747,0.4934,0.5008,45.1
72,1035,271,20,5,0.4366,0.4582,0.4412,0.4641,0.4317,0.4531,45.9
73,1034,272,20,5,0.3921,0.4232,0.3961,0.4225,0.3854,0.427,45.6
74,1031,275,20,5,0.3008,0.3714,0.2858,0.3591,0.2859,0.383,46.0
75,1032,274,20,5,0.4113,0.3992,0.4136,0.4007,0.4354,0.4191,46.0
76,1031,275,20,5,0.3947,0.4304,0.3949,0.4369,0.3944,0.4145,46.0
77,1034,272,20,5,0.5314,0.56,0.4949,0.5288,0.5165,0.5414,45.7
78,1012,294,19,6,0.4365,0.44,0.4056,0.4118,0.4512,0.4646,44.8
79,1035,271,20,5,0.34,0.3853,0.3371,0.3916,0.3164,0.3756,46.4
80,999,307,19,6,0.368,0.3552,0.4066,0.4072,0.3795,0.3931,42.7
81,1028,278,20,5,0.3968,0.4416,0.3608,0.4128,0.3828,0.4224,46.0
82,1039,267,20,5,0.4464,0.471,0.4466,0.475,0.3877,0.4168,46.3
83,1032,274,20,5,0.4195,0.4326,0.4307,0.4483,0.4065,0.4279,46.8
84,1034,272,20,5,0.4311,0.4413,0.4271,0.4372,0.435,0.4276,46.0
85,1015,291,19,6,0.4207,0.409,0.4151,0.4021,0.4406,0.4261,45.8
86,1036,270,20,5,0.387,0.4003,0.3664,0.3827,0.399,0.408,46.0
87,1027,279,20,5,0.4268,0.4421,0.4157,0.4362,0.4437,0.4648,47.1
88,1035,271,20,5,0.4181,0.4256,0.4246,0.4232,0.4408,0.442,46.3
89,1032,274,20,5,0.4454,0.461,0.413,0.428,0.4298,0.4342,48.1
90,993,313,19,6,0.3049,0.3305,0.2931,0.3255,0.291,0.3395,42.6
91,1026,280,20,5,0.3817,0.4143,0.3755,0.4106,0.3565,0.3807,45.9
92,993,313,19,6,0.4466,0.4593,0.4611,0.4779,0.4231,0.4419,42.8
93,1033,273,20,5,0.3642,0.3533,0.3346,0.3253,0.4159,0.4184,45.9
94,1042,264,20,5,0.4557,0.4644,0.4612,0.4657,0.5108,0.522,46.1
95,1005,301,19,6,0.4903,0.4954,0.4958,0.508,0.5119,0.5292,45.6
96,1030,276,20,5,0.4783,0.5183,0.4903,0.5453,0.4566,0.5043,45.9
97,1038,268,20,5,0.454,0.464,0.4508,0.4662,0.4517,0.4529,46.1
98,1034,272,20,5,0.3822,0.4262,0.3792,0.4222,0.399,0.4452,46.0
99,988,318,19,6,0.4762,0.4911,0.4681,0.4773,0.4921,0.5181,42.3
100,1037,269,20,5,0.4314,0.4494,0.4627,0.4837,0.4246,0.4458,46.2
