seed,n_train,n_test,n_families_train,n_families_test,gagblup_pearson,gagblup_spearman,bayesb_pearson,bayesb_spearman,gagblup_seconds,bayesb_seconds,wall_clock_seconds
76,1019,272,20,5,nan,nan,0.494900297284153,0.536263206127603,nan,341.03436088562,378.1
77,1023,268,20,5,nan,nan,0.564900869571736,0.575511917868351,nan,368.665420293808,406.2
78,1001,290,19,6,nan,nan,0.617731484763503,0.692546261817435,nan,368.245762825012,404.9
79,1022,269,20,5,nan,nan,0.443225978030067,0.433925140509251,nan,370.258589506149,407.6
80,986,305,19,6,nan,nan,0.616972606920965,0.589752010748602,nan,362.196145772934,399.4
81,1016,275,20,5,nan,nan,0.533769852143577,0.520832143234393,nan,361.978531837463,400.1
82,1024,267,20,5,nan,nan,0.563831413909657,0.535909817081256,nan,360.642607927322,399.0
83,1021,270,20,5,nan,nan,0.638883220898848,0.650060273866355,nan,381.016181945801,418.2
84,1021,270,20,5,nan,nan,0.516489383496929,0.538620757357318,nan,379.302157878876,416.3
85,1005,286,19,6,nan,nan,0.628007086037931,0.624990606283113,nan,375.272487640381,413.0
86,1024,267,20,5,nan,nan,0.598879895432621,0.593433855472131,nan,366.6962454319,404.5
87,1014,277,20,5,nan,nan,0.595433745973351,0.573159183016891,nan,362.431136369705,399.7
88,1024,267,20,5,nan,nan,0.544501772411848,0.597118282438702,nan,390.378137111664,427.6
89,1020,271,20,5,nan,nan,0.575658667336717,0.617820459872028,nan,380.743283748627,426.0
90,979,312,19,6,nan,nan,0.593106354310175,0.60780983143575,nan,364.217046260834,401.8
91,1013,278,20,5,nan,nan,0.54480540623415,0.559730739741669,nan,369.282775878906,407.6
92,978,313,19,6,nan,nan,0.53412299966401,0.472959877652357,nan,368.600783348083,405.6
93,1020,271,20,5,nan,nan,0.552763489135601,0.567049456151672,nan,367.970580101013,405.6
94,1029,262,20,5,nan,nan,0.624661932793992,0.632745662034042,nan,392.037214279175,429.2
95,994,297,19,6,nan,nan,0.582273611587418,0.581621780086868,nan,369.063163042068,405.4
96,1019,272,20,5,nan,nan,0.601686704724288,0.592575685726224,nan,382.108278036118,419.5
97,1025,266,20,5,nan,nan,0.574670134353038,0.556427023104873,nan,359.948945999146,397.3
98,1024,267,20,5,nan,nan,0.580606883161566,0.570637708533894,nan,378.496963262558,416.0
99,1032,259,20,5,nan,nan,0.598069544957357,0.607695442414722,nan,374.620022773743,412.2
100,1025,266,20,5,nan,nan,0.5945301844292,0.574836552969151,nan,360.715101003647,397.8
