seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
1,1034,267,20,5,0.5308,0.5183,0.5655,0.554,0.5715,0.5541,123.5
2,991,310,19,6,0.4897,0.4817,0.5031,0.4944,0.5037,0.4973,43.3
3,1004,297,19,6,0.5399,0.5309,0.5485,0.5383,0.5495,0.5415,45.6
4,1034,267,20,5,0.4769,0.4733,0.4848,0.4838,0.4933,0.4914,46.5
5,1037,264,20,5,0.5284,0.516,0.5355,0.5204,0.5302,0.5076,46.9
6,1030,271,20,5,0.4898,0.4936,0.5108,0.5054,0.4697,0.4685,46.0
7,1021,280,20,5,0.5409,0.532,0.5166,0.5089,0.5991,0.5798,51.7
8,1031,270,20,5,0.5008,0.4716,0.4915,0.4572,0.4759,0.4351,49.5
9,1020,281,20,5,0.4797,0.4501,0.4856,0.435,0.4512,0.3994,49.6
10,1021,280,20,5,0.4779,0.4786,0.4977,0.5021,0.5483,0.5462,47.1
11,1029,272,20,5,0.5215,0.5209,0.5268,0.5232,0.5369,0.5287,46.6
12,1032,269,20,5,0.5261,0.5094,0.538,0.5071,0.5219,0.5015,47.3
13,1002,299,19,6,0.5348,0.5101,0.5383,0.4999,0.5632,0.5196,45.4
14,1026,275,20,5,0.5547,0.5467,0.559,0.5566,0.571,0.5619,49.8
15,1029,272,20,5,0.54,0.5784,0.5365,0.5794,0.5536,0.5831,48.9
16,1029,272,20,5,0.5264,0.4922,0.5392,0.5079,0.5309,0.4843,46.2
17,1033,268,20,5,0.4729,0.462,0.4513,0.4394,0.4934,0.4771,48.0
18,1024,277,20,5,0.4485,0.4524,0.4449,0.4555,0.4326,0.442,46.3
19,1028,273,20,5,0.5107,0.5118,0.4999,0.4973,0.4838,0.4686,48.0
20,998,303,19,6,0.5048,0.4817,0.4909,0.4656,0.469,0.4463,43.1
21,1025,276,20,5,0.5109,0.4919,0.5303,0.4931,0.5402,0.4965,45.9
22,1033,268,20,5,0.4788,0.4892,0.4831,0.495,0.4848,0.493,46.2
23,1031,270,20,5,0.5282,0.5205,0.5491,0.5489,0.553,0.551,45.5
24,1034,267,20,5,0.4658,0.4973,0.4782,0.5139,0.4523,0.4861,45.7
25,1031,270,20,5,0.5518,0.5434,0.5632,0.5526,0.5705,0.5646,45.4
26,1030,271,20,5,0.475,0.4653,0.4496,0.4391,0.5052,0.4691,45.9
27,1003,298,19,6,0.5876,0.5649,0.5894,0.5584,0.6036,0.5714,44.6
28,1032,269,20,5,0.5115,0.5084,0.5012,0.5044,0.5412,0.5238,45.6
29,1032,269,20,5,0.4482,0.4709,0.4607,0.4816,0.4756,0.4876,45.8
30,995,306,19,6,0.4738,0.4976,0.4646,0.4949,0.4794,0.5005,42.6
31,1034,267,20,5,0.5163,0.4968,0.5309,0.498,0.4923,0.4754,45.6
32,1029,272,20,5,0.4916,0.4755,0.4748,0.4607,0.4723,0.4432,45.6
33,1006,295,19,6,0.4298,0.4149,0.4122,0.3991,0.4526,0.4239,44.5
34,1007,294,19,6,0.5289,0.5091,0.5438,0.5084,0.5334,0.5023,44.3
35,1021,280,20,5,0.4921,0.5001,0.4996,0.5059,0.5172,0.5154,45.1
36,1005,296,19,6,0.4619,0.4558,0.4672,0.4592,0.4628,0.456,44.5
37,1024,277,20,5,0.5384,0.513,0.5508,0.5232,0.5413,0.5012,48.7
38,990,311,19,6,0.4446,0.444,0.4351,0.4318,0.4589,0.4642,43.0
39,1026,275,20,5,0.5357,0.526,0.5395,0.5296,0.5641,0.5338,47.7
40,1011,290,19,6,0.4845,0.4617,0.4907,0.4823,0.4918,0.4702,44.8
41,1030,271,20,5,0.5462,0.5256,0.5668,0.5217,0.5653,0.5106,48.4
42,991,310,19,6,0.4977,0.5079,0.4605,0.4701,0.4886,0.4963,43.0
43,1005,296,19,6,0.4049,0.4247,0.4067,0.4245,0.4008,0.417,45.0
44,1024,277,20,5,0.5332,0.5176,0.5183,0.5096,0.5591,0.5477,45.6
45,1036,265,20,5,0.5135,0.5456,0.5385,0.5697,0.5094,0.5401,46.0
46,1000,301,19,6,0.4349,0.4186,0.432,0.4166,0.4259,0.4111,43.5
47,991,310,19,6,0.4933,0.4801,0.4637,0.4423,0.4549,0.4421,43.9
48,1026,275,20,5,0.3855,0.3813,0.4073,0.394,0.4395,0.4326,50.6
49,1037,264,19,6,0.5245,0.5352,0.5289,0.5301,0.5249,0.5147,47.3
50,1011,290,19,6,0.4754,0.4785,0.4887,0.4856,0.4622,0.4675,50.3
51,994,307,19,6,0.5162,0.5215,0.5336,0.5306,0.5265,0.524,43.4
52,1027,274,20,5,0.5874,0.5419,0.5851,0.5247,0.5555,0.4873,51.0
53,1019,282,20,5,0.542,0.5407,0.5337,0.5342,0.5476,0.55,45.4
54,1005,296,19,6,0.4284,0.4171,0.4235,0.4317,0.4182,0.4279,45.3
55,1021,280,20,5,0.5281,0.5081,0.5238,0.5144,0.5357,0.5195,45.6
56,988,313,19,6,0.5287,0.5399,0.515,0.5329,0.5232,0.5332,42.9
57,1025,276,20,5,0.5877,0.5851,0.598,0.5871,0.5829,0.5574,45.3
58,1036,265,20,5,0.5342,0.5305,0.502,0.5031,0.5305,0.5075,48.7
59,1032,269,20,5,0.5113,0.5271,0.5173,0.5241,0.493,0.4726,45.7
60,1028,273,20,5,0.4693,0.4432,0.4227,0.4061,0.4924,0.4607,45.8
61,1002,299,19,6,0.5094,0.4892,0.4786,0.4697,0.5451,0.5183,48.9
62,1004,297,19,6,0.5292,0.5151,0.5407,0.5167,0.5395,0.5025,49.4
63,1020,281,20,5,0.5529,0.5513,0.5557,0.5484,0.5372,0.5346,47.8
64,1036,265,20,5,0.5635,0.5253,0.5662,0.5213,0.5898,0.5223,46.0
65,1020,281,20,5,0.4077,0.3472,0.3979,0.3461,0.4288,0.3775,45.6
66,1021,280,20,5,0.4634,0.4404,0.4615,0.4379,0.4408,0.4281,45.2
67,1033,268,20,5,0.5565,0.5537,0.5564,0.5443,0.5825,0.5708,45.1
68,1001,300,19,6,0.5117,0.5146,0.5018,0.5146,0.5094,0.4972,44.4
69,985,316,19,6,0.5682,0.5691,0.5737,0.578,0.581,0.571,42.6
70,1026,275,20,5,0.5091,0.5017,0.4863,0.4836,0.5534,0.5372,45.7
71,991,310,19,6,0.5412,0.5429,0.5235,0.5196,0.5532,0.5465,43.3
72,1031,270,20,5,0.4292,0.4443,0.4479,0.4695,0.4252,0.4451,45.9
73,1028,273,20,5,0.5396,0.5395,0.5543,0.5481,0.5654,0.5612,49.1
74,1026,275,20,5,0.4719,0.4787,0.4947,0.507,0.5081,0.5127,46.9
75,1030,271,20,5,0.5232,0.5127,0.5034,0.4908,0.5637,0.5343,45.6
76,1028,273,20,5,0.4946,0.4589,0.4877,0.4608,0.5068,0.4718,47.5
77,1029,272,20,5,0.5415,0.5599,0.5528,0.5717,0.5417,0.5579,45.6
78,1008,293,19,6,0.5133,0.527,0.5095,0.5305,0.5235,0.5446,44.6
79,1030,271,20,5,0.4875,0.4574,0.4914,0.4468,0.4839,0.4389,55.1
80,995,306,19,6,0.5249,0.5169,0.535,0.5172,0.5426,0.5286,43.0
81,1024,277,20,5,0.5606,0.579,0.5836,0.5946,0.5639,0.5568,46.4
82,1031,270,20,5,0.4921,0.5039,0.5043,0.5201,0.4755,0.5006,46.4
83,1028,273,20,5,0.5736,0.5614,0.5604,0.5531,0.5911,0.5798,46.6
84,1028,273,20,5,0.5793,0.5784,0.5871,0.5769,0.5535,0.5377,46.2
85,1009,292,19,6,0.5096,0.5099,0.5126,0.5199,0.53,0.5344,45.2
86,1031,270,20,5,0.5644,0.5633,0.5574,0.5712,0.6019,0.5967,45.8
87,1022,279,20,5,0.601,0.6018,0.602,0.5894,0.5824,0.5721,47.7
88,1033,268,20,5,0.5255,0.4913,0.5057,0.4778,0.5622,0.5206,45.8
89,1029,272,20,5,0.5544,0.548,0.5601,0.5594,0.5506,0.5582,48.6
90,988,313,19,6,0.4876,0.5147,0.5017,0.5326,0.4944,0.5228,42.6
91,1023,278,20,5,0.5113,0.4962,0.5259,0.5014,0.5019,0.4512,46.1
92,987,314,19,6,0.5097,0.5193,0.4878,0.4935,0.4851,0.4998,42.8
93,1029,272,20,5,0.5701,0.5781,0.5622,0.5771,0.604,0.6124,46.0
94,1039,262,20,5,0.4981,0.5006,0.4885,0.4875,0.4905,0.4855,46.1
95,1004,297,19,6,0.4519,0.4726,0.4787,0.5007,0.4605,0.4678,45.4
96,1023,278,20,5,0.5152,0.5054,0.536,0.5198,0.5055,0.4764,45.9
97,1032,269,20,5,0.533,0.5444,0.5432,0.5567,0.5542,0.5508,46.3
98,1032,269,20,5,0.5082,0.4935,0.472,0.4513,0.5129,0.4892,46.0
99,1040,261,20,5,0.5226,0.5363,0.5549,0.566,0.5543,0.5724,45.5
100,1035,266,20,5,0.5179,0.512,0.5033,0.4923,0.4955,0.4852,45.6
