seed,n_train,n_test,n_families_train,n_families_test,gagblup_pearson,gagblup_spearman,bayesb_pearson,bayesb_spearman,gagblup_seconds,bayesb_seconds,wall_clock_seconds
1,1046,269,20,5,nan,nan,0.645238022910893,0.666146239758597,nan,413.721843719482,451.7
2,1002,313,19,6,nan,nan,0.622184109530026,0.627482609846503,nan,411.00771689415,448.7
3,1015,300,19,6,nan,nan,0.636585644765392,0.631203222978908,nan,391.356026649475,429.0
4,1047,268,20,5,nan,nan,0.675924430557114,0.665841148611746,nan,408.067902565002,445.7
5,1050,265,20,5,nan,nan,0.587679155610733,0.597779723402439,nan,401.914109230042,439.7
6,1040,275,20,5,nan,nan,0.505310085219393,0.49599411440455,nan,392.572207927704,429.9
7,1030,285,20,5,nan,nan,0.484641623583328,0.533444786366133,nan,404.916386604309,442.6
8,1046,269,20,5,nan,nan,0.661202453884264,0.648614399738243,nan,375.644282817841,413.3
9,1029,286,20,5,nan,nan,0.534183222133455,0.508301927977233,nan,421.033876895905,458.9
10,1030,285,20,5,nan,nan,0.548357720589859,0.55249003564843,nan,385.909672021866,423.9
11,1040,275,20,5,nan,nan,0.577038074686653,0.58351422870639,nan,396.09959435463,433.8
12,1043,272,20,5,nan,nan,0.601600740905049,0.595984960748026,nan,408.380067110062,446.3
13,1011,304,19,6,nan,nan,0.576767648183227,0.57041217039306,nan,396.798946619034,433.9
14,1037,278,20,5,nan,nan,0.559117359374999,0.582450829329398,nan,400.501734733582,438.4
15,1040,275,20,5,nan,nan,0.517647206549076,0.517140276633496,nan,406.530166864395,444.6
16,1040,275,20,5,nan,nan,0.668719849413595,0.6716560528872,nan,391.832073450089,429.9
17,1047,268,20,5,nan,nan,0.606924653528456,0.611049487305398,nan,397.757344484329,439.9
18,1036,279,20,5,nan,nan,0.649068274116068,0.640709016414821,nan,392.823814868927,439.3
19,1038,277,20,5,nan,nan,0.658662803273078,0.632607013790989,nan,389.260202407837,427.3
20,1007,308,19,6,nan,nan,0.619597373505358,0.597301845625683,nan,385.40988278389,422.6
21,1036,279,20,5,nan,nan,0.553509506767579,0.579398027630159,nan,385.690540313721,431.6
