seed,projection,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,pcr_pearson,pcr_spearman,eff_rank,wall_clock_seconds
11,screen_pca:2000,4081,1049,31,8,0.390018,0.388981,0.410859,0.409094,,224.1
11,hybrid:50,4081,1049,31,8,0.314562,0.303331,-0.121806,0.219472,,226.2
11,bag:10,4081,1049,31,8,0.379807,0.368001,0.417267,0.406257,,233.2
12,pca,4085,1045,31,8,0.375891,0.37423,0.393793,0.38748,,125.7
12,pls,4085,1045,31,8,0.268909,0.268168,0.23878,0.215224,100,173.4
12,pls_mm,4085,1045,31,8,0.289252,0.283872,0.23878,0.215224,100,221.3
12,screen_pca:2000,4085,1045,31,8,0.37896,0.369185,0.385961,0.375861,,224.1
12,hybrid:50,4085,1045,31,8,0.204463,0.189119,0.067779,0.188354,,226.6
12,bag:10,4085,1045,31,8,0.347113,0.344494,0.390277,0.383957,,233.8
13,pca,4099,1031,31,8,0.508378,0.496181,0.506507,0.496682,,123.6
13,pls,4099,1031,31,8,0.391012,0.385325,0.402674,0.37526,100,168.4
13,pls_mm,4099,1031,31,8,0.42127,0.412637,0.402674,0.37526,100,216.1
13,screen_pca:2000,4099,1031,31,8,0.434637,0.423487,0.463041,0.451351,,218.8
13,hybrid:50,4099,1031,31,8,0.354988,0.335592,0.4404,0.432502,,221.1
13,bag:10,4099,1031,31,8,0.325837,0.323089,0.513322,0.50372,,228.0
14,pca,4071,1059,31,8,0.363845,0.350123,0.407944,0.39454,,125.8
14,pls,4071,1059,31,8,0.418616,0.426915,0.432912,0.42341,100,172.3
14,pls_mm,4071,1059,31,8,0.438607,0.438946,0.432912,0.42341,100,216.2
14,screen_pca:2000,4071,1059,31,8,0.334691,0.313465,0.311946,0.287295,,218.7
14,hybrid:50,4071,1059,31,8,0.275224,0.26116,0.320931,0.293451,,220.8
14,bag:10,4071,1059,31,8,0.314455,0.305442,0.413701,0.400017,,227.7
15,pca,4059,1071,31,8,0.453628,0.440703,0.443818,0.431622,,117.5
15,pls,4059,1071,31,8,0.33034,0.340198,0.318677,0.308934,100,164.1
15,pls_mm,4059,1071,31,8,0.343307,0.349891,0.318677,0.308934,100,211.1
15,screen_pca:2000,4059,1071,31,8,0.384023,0.37687,0.399383,0.393532,,213.6
15,hybrid:50,4059,1071,31,8,0.306756,0.317567,-0.042954,0.278836,,215.8
15,bag:10,4059,1071,31,8,0.37852,0.348309,0.44736,0.432815,,223.0
16,pca,4055,1075,31,8,0.412621,0.402449,0.473608,0.464341,,118.0
16,pls,4055,1075,31,8,0.390972,0.394687,0.365461,0.352921,100,164.6
16,pls_mm,4055,1075,31,8,0.420786,0.419951,0.365461,0.352921,100,211.8
16,screen_pca:2000,4055,1075,31,8,0.396375,0.393939,0.447426,0.439414,,214.3
16,hybrid:50,4055,1075,31,8,0.274485,0.277594,0.309809,0.31122,,216.4
16,bag:10,4055,1075,31,8,0.310268,0.308851,0.48569,0.474863,,223.3
17,pca,4098,1032,31,8,0.501823,0.491788,0.533725,0.524401,,123.8
17,pls,4098,1032,31,8,0.346048,0.359988,0.337612,0.357229,100,171.6
17,pls_mm,4098,1032,31,8,0.393587,0.410254,0.337612,0.357229,100,219.0
17,screen_pca:2000,4098,1032,31,8,0.459558,0.455376,0.456305,0.443175,,221.5
17,hybrid:50,4098,1032,31,8,0.302363,0.29748,0.137993,0.33721,,224.0
17,bag:10,4098,1032,31,8,0.424152,0.415782,0.529076,0.521832,,232.1
18,pca,4060,1070,31,8,0.461199,0.428731,0.463991,0.436123,,118.6
18,pls,4060,1070,31,8,0.327833,0.343366,0.329198,0.329016,100,167.2
18,pls_mm,4060,1070,31,8,0.35252,0.366119,0.329198,0.329016,100,214.3
18,screen_pca:2000,4060,1070,31,8,0.430052,0.403562,0.450629,0.422242,,216.7
18,hybrid:50,4060,1070,31,8,0.389597,0.371127,0.062814,0.297397,,219.0
18,bag:10,4060,1070,31,8,0.395039,0.363999,0.499811,0.465872,,226.8
19,pca,4043,1087,31,8,0.38108,0.368757,0.433663,0.418464,,119.8
19,pls,4043,1087,31,8,0.30746,0.302916,0.287418,0.276225,100,165.7
19,pls_mm,4043,1087,31,8,0.331879,0.324341,0.287418,0.276225,100,214.2
19,screen_pca:2000,4043,1087,31,8,0.397153,0.383336,0.394167,0.37837,,217.2
19,hybrid:50,4043,1087,31,8,0.32905,0.326826,-0.041376,0.19031,,219.4
19,bag:10,4043,1087,31,8,0.358014,0.344791,0.412265,0.400946,,226.8
20,pca,4075,1055,31,8,0.439949,0.427459,0.432964,0.415749,,122.7
20,pls,4075,1055,31,8,0.261735,0.249288,0.221435,0.200036,100,169.9
20,pls_mm,4075,1055,31,8,0.275021,0.260205,0.221435,0.200036,100,216.7
20,screen_pca:2000,4075,1055,31,8,0.453968,0.44729,0.485059,0.470711,,219.3
20,hybrid:50,4075,1055,31,8,0.289877,0.263991,0.357501,0.342785,,221.6
20,bag:10,4075,1055,31,8,0.372871,0.371276,0.45265,0.435405,,228.6
21,pca,4045,1085,31,8,0.46211,0.438458,0.484708,0.459519,,119.7
21,pls,4045,1085,31,8,0.381876,0.365492,0.358834,0.344945,100,163.8
21,pls_mm,4045,1085,31,8,0.387538,0.370911,0.358834,0.344945,100,212.5
21,screen_pca:2000,4045,1085,31,8,0.437689,0.422312,0.473123,0.452687,,215.0
21,hybrid:50,4045,1085,31,8,0.321858,0.318933,0.351655,0.34937,,217.1
21,bag:10,4045,1085,31,8,0.397046,0.383292,0.493536,0.466824,,224.0
22,pca,4011,1119,30,9,0.439898,0.425011,0.436837,0.419879,,117.1
22,pls,4011,1119,30,9,0.323957,0.318152,0.323515,0.295423,100,162.2
22,pls_mm,4011,1119,30,9,0.349972,0.342826,0.323515,0.295423,100,209.6
22,screen_pca:2000,4011,1119,30,9,0.404251,0.380586,0.39133,0.366793,,212.4
22,hybrid:50,4011,1119,30,9,0.38857,0.37282,0.391427,0.382996,,214.5
22,bag:10,4011,1119,30,9,0.432498,0.415587,0.435842,0.420288,,222.1
23,pca,4064,1066,31,8,0.431328,0.407435,0.447525,0.425915,,120.1
23,pls,4064,1066,31,8,0.370144,0.358949,0.33617,0.3321,100,166.6
23,pls_mm,4064,1066,31,8,0.384862,0.375873,0.33617,0.3321,100,213.9
