seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
58,4053,1083,31,8,0.0658,0.0431,0.1687,0.1397,0.0937,0.0747,0.133426420568296,0.122884323462438
59,4083,1053,31,8,0.0804,0.0568,0.1363,0.1156,0.0816,0.06,0.250023920447307,0.236917827713691
60,4108,1028,31,8,0.1602,0.1499,0.2,0.1646,0.1356,0.1253,0.384525263323075,0.334850889369196
61,4083,1053,31,8,0.2343,0.195,0.2854,0.2442,0.256,0.2195,0.137225091310563,0.122777320800943
62,3981,1155,30,9,0.1307,0.0991,0.1716,0.143,0.1643,0.1423,0.18330297253921,0.138722322164085
63,4044,1092,31,8,0.2636,0.25,0.2972,0.2744,0.2071,0.1958,-0.040191579317603,-0.0363531378302949
64,4061,1075,31,8,0.0261,0.0491,0.1078,0.1149,0.0108,0.0367,0.0734074077135161,0.0592931297403876
65,3996,1140,30,9,-0.1412,-0.15,-0.1073,-0.1098,-0.1361,-0.1405,0.0374419626861544,0.0103051658539925
66,4058,1078,31,8,0.1468,0.1402,0.2571,0.2412,0.0584,0.0586,0.144484091214652,0.138037922657898
67,4046,1090,31,8,0.2348,0.2235,0.2161,0.1994,0.2187,0.2068,0.274170298514776,0.212750503579492
68,4071,1065,31,8,0.1852,0.1883,0.2105,0.2184,0.2028,0.1954,0.136148354891945,0.109325395839716
69,4058,1078,31,8,0.1915,0.1792,0.1765,0.1607,0.189,0.1833,0.258138511961296,0.267213990559282
70,3998,1138,30,9,0.1645,0.1487,0.1813,0.1478,0.1608,0.1426,0.234498642660344,0.16365021283465
71,4095,1041,31,8,0.2703,0.2669,0.3875,0.3962,0.2356,0.2339,0.323068111909162,0.310085347194811
72,4101,1035,31,8,0.0861,0.0664,0.0918,0.1084,0.07,0.0549,0.114185445643337,0.0946760533062466
73,4068,1068,31,8,0.2828,0.2725,0.2533,0.2278,0.2711,0.2552,0.107252249814565,0.0892793701516899
74,4053,1083,31,8,0.1069,0.0793,0.1152,0.0882,0.0991,0.0728,0.191558302693383,0.120927068037045
75,4091,1045,31,8,0.0283,0.0074,0.0184,-0.0219,-0.0103,-0.0317,0.330067784495939,0.243476217548799
76,4072,1064,31,8,0.0752,0.0654,0.1655,0.1485,0.0296,0.0158,0.169247926040823,0.15094883095632
77,4045,1091,31,8,0.1485,0.1237,0.1123,0.1026,0.1302,0.1155,0.131440410402839,0.121385307426048
78,4080,1056,31,8,0.3014,0.3001,0.2616,0.2612,0.3004,0.3067,0.0915198968231662,0.0992794187248282
79,4065,1071,31,8,0.1033,0.1003,0.1364,0.1254,0.0971,0.1068,0.241713922050313,0.200764626518304
80,4079,1057,31,8,0.0553,0.0227,0.1404,0.0973,0.0757,0.0419,0.282421762992004,0.28676104130716
81,4056,1080,31,8,0.1551,0.17,0.148,0.1573,0.1745,0.1758,0.136308490368256,0.116394048447185
82,4049,1087,31,8,0.1367,0.1431,0.1386,0.1459,0.1202,0.1376,0.117889728473569,0.107471930553167
83,4081,1055,31,8,0.1199,0.1137,0.2084,0.1985,0.1927,0.1935,0.114155957160666,0.0841459710045687
84,4043,1093,31,8,0.0898,0.0891,0.0865,0.0736,0.0601,0.0489,0.114355565443621,0.125894198706633
85,4070,1066,31,8,0.1716,0.1591,0.193,0.1746,0.1464,0.1426,0.249447181905245,0.282076375932023
86,4088,1048,31,8,-0.0429,-0.043,0.0173,-0.0006,-0.0048,-0.0101,0.209166383737948,0.185735322565346
87,4069,1067,31,8,0.0901,0.0517,0.1354,0.1116,0.1195,0.0831,0.147190092205883,0.122594820754192
88,3986,1150,30,9,0.1797,0.1491,0.2434,0.1999,0.2157,0.1877,0.176853392456202,0.124771033579581
89,4067,1069,31,8,0.2077,0.1925,0.2113,0.1921,0.1578,0.1485,0.14341658898643,0.128887541578719
90,4100,1036,31,8,0.2535,0.2375,0.1777,0.1687,0.2101,0.1986,0.197513696340441,0.187976615678929
91,4049,1087,31,8,0.1767,0.1512,0.216,0.1608,0.1487,0.1206,0.189874004562802,0.13957547902561
92,3975,1161,30,9,0.0331,0.0216,-0.0027,-0.0203,0.0113,0.009,0.0447817246091943,0.00150182216321538
93,3996,1140,30,9,0.1591,0.1593,0.2445,0.2475,0.142,0.1456,0.261459682642677,0.248429266830645
94,4086,1050,31,8,0.2037,0.1936,0.2443,0.2467,0.2284,0.2193,0.231398245247239,0.188874491000892
95,4052,1084,31,8,0.1663,0.1539,0.1681,0.1548,0.1532,0.1431,0.147444724953957,0.124737385200927
96,4080,1056,31,8,0.0358,0.0263,0.0403,0.0257,0.0452,0.0421,0.181874273050788,0.160066121178029
97,4048,1088,31,8,0.0611,0.0468,0.102,0.0804,0.0255,0.0292,0.20837694389046,0.160778768746426
98,3979,1157,30,9,0.0042,-0.0133,0.009,-0.0142,-0.0281,-0.0418,0.244453737571402,0.199030405066147
99,4062,1074,31,8,0.1027,0.0791,0.0858,0.0724,0.1146,0.0991,0.211273582670669,0.192036016865835
100,3990,1146,30,9,0.0592,0.0954,0.0541,0.0912,0.0597,0.0878,0.105296903783115,0.088820755795377
