seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
68,4060,1063,31,8,0.4207,0.4,0.5463,0.5334,0.458,0.4336,0.568233021306778,0.562881705714307
69,4048,1075,31,8,0.4295,0.4058,0.4885,0.4671,0.4446,0.4235,0.657203014537913,0.650399408318946
70,3990,1133,30,9,0.4698,0.4534,0.5799,0.5562,0.5059,0.4854,0.642947249260605,0.625110861432163
71,4085,1038,31,8,0.4741,0.4665,0.5405,0.5268,0.5012,0.4947,0.618947770481436,0.606952155541043
72,4092,1031,31,8,0.4407,0.4284,0.529,0.5216,0.4533,0.4391,0.624433506939064,0.616667147401441
73,4058,1065,31,8,0.4469,0.4403,0.5541,0.5467,0.4747,0.4695,0.53020827843639,0.512915299947889
74,4043,1080,31,8,0.388,0.3707,0.478,0.4596,0.3702,0.3469,0.580030727209701,0.551445472344047
75,4080,1043,31,8,0.5064,0.5068,0.5922,0.5828,0.5117,0.51,0.552009109118356,0.561345192383968
76,4059,1064,31,8,0.5083,0.5048,0.582,0.5692,0.521,0.5246,0.490752641701585,0.486105023441792
77,4035,1088,31,8,0.4869,0.4808,0.5988,0.5937,0.5501,0.5433,0.607271225292632,0.58414194705673
78,4069,1054,31,8,0.3775,0.3747,0.4923,0.4926,0.3896,0.3861,0.615600960985243,0.603718945762633
79,4053,1070,31,8,0.433,0.4364,0.5549,0.5565,0.4661,0.4636,0.608169820889695,0.612485618951371
80,4069,1054,31,8,0.3857,0.3722,0.4711,0.4583,0.3794,0.3668,0.496757916600212,0.477642462903975
81,4047,1076,31,8,0.3952,0.3788,0.507,0.4965,0.4429,0.4312,0.593747416113606,0.578293526668331
82,4038,1085,31,8,0.4503,0.4531,0.5415,0.5464,0.4808,0.4852,0.597854287277045,0.611440127973
83,4069,1054,31,8,0.4119,0.4104,0.5102,0.5143,0.3814,0.3754,0.521251188681666,0.513810671035137
84,4031,1092,31,8,0.4571,0.446,0.578,0.5694,0.47,0.454,0.62708070131322,0.617949681327392
85,4060,1063,31,8,0.4644,0.4722,0.5743,0.5819,0.482,0.4842,0.620688481093341,0.632047448634363
86,4077,1046,31,8,0.4619,0.4545,0.5062,0.4969,0.5024,0.4922,0.514641105751425,0.512277762230798
87,4058,1065,31,8,0.4134,0.4115,0.4933,0.497,0.4417,0.4377,0.468877426083165,0.465950595069674
88,3980,1143,30,9,0.4744,0.4699,0.5692,0.564,0.4854,0.4866,0.545693685273497,0.555700394980769
89,4059,1064,31,8,0.5313,0.5183,0.6253,0.6019,0.5792,0.5648,0.508623505980602,0.504367266619941
90,4089,1034,31,8,0.3959,0.3897,0.5308,0.5229,0.3679,0.3645,0.563632440203273,0.540993415384049
91,4038,1085,31,8,0.4596,0.4577,0.5297,0.5148,0.4674,0.4591,0.649885836857993,0.629618847789645
92,3965,1158,30,9,0.5232,0.5271,0.5685,0.5641,0.5052,0.503,0.579253363562654,0.570119429907722
93,3989,1134,30,9,0.4581,0.455,0.4582,0.4503,0.4632,0.461,0.580625178642798,0.565825800302135
94,4076,1047,31,8,0.4216,0.4105,0.5942,0.5897,0.443,0.4322,0.579894986377841,0.57353602477077
95,4041,1082,31,8,0.4477,0.448,0.5285,0.5214,0.4534,0.4514,0.53773158711455,0.519068891884778
96,4068,1055,31,8,0.4853,0.4806,0.5466,0.5365,0.4808,0.4707,0.532690967499665,0.527675091853723
97,4035,1088,31,8,0.512,0.5073,0.5802,0.5798,0.5075,0.4998,0.58156823491273,0.572876783904683
98,3968,1155,30,9,0.4382,0.4282,0.4604,0.4489,0.437,0.4259,0.4513710373548,0.451378170602631
99,4051,1072,31,8,0.483,0.4734,0.5783,0.565,0.5049,0.4948,0.619470194978416,0.604964579919685
100,3981,1142,30,9,0.4459,0.4334,0.5151,0.5005,0.4537,0.44,0.608784899455301,0.613712478748535
