seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
89,2694,676,29,7,0.4532,0.4172,0.5795,0.5524,0.5381,0.5012,0.570514456170163,0.568226684866791
90,2611,759,28,8,0.4905,0.482,0.5465,0.5277,0.4847,0.469,0.555628258646291,0.530488182757928
91,2685,685,30,6,0.5343,0.529,0.5891,0.5818,0.5557,0.5498,0.608091244153446,0.602091840297848
92,2623,747,29,7,0.44,0.4368,0.5924,0.5859,0.4934,0.4929,0.655568026334147,0.656459512277598
93,2674,696,28,8,0.4996,0.4947,0.5508,0.5316,0.5196,0.5171,0.554051154580268,0.544565753029763
94,2661,709,29,7,0.5733,0.5729,0.6043,0.6037,0.5708,0.575,0.588948230083756,0.581089262380029
95,2598,772,28,8,0.3963,0.3743,0.484,0.4574,0.4259,0.4024,0.519790810098347,0.504555615426693
96,2641,729,27,9,0.3909,0.3966,0.4636,0.462,0.4316,0.4335,0.556826876127386,0.568526476639119
97,2646,724,29,7,0.3847,0.3805,0.4023,0.3937,0.3299,0.3254,0.463752326978839,0.442914357939019
98,2650,720,29,7,0.4087,0.4068,0.5119,0.5016,0.4273,0.4294,0.549407877023098,0.523755663721052
99,2638,732,27,9,0.5154,0.4909,0.56,0.5248,0.5183,0.4799,0.571749758753487,0.533217457543906
100,2587,783,27,9,0.4757,0.4685,0.5656,0.5601,0.5208,0.5132,0.584361309707004,0.570128875128599
