seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
59,4079,1051,31,8,0.3008,0.2793,0.4599,0.4326,0.3418,0.3174,0.493744447154612,0.451269466548236
60,4102,1028,31,8,0.4285,0.4085,0.5331,0.5012,0.4646,0.4367,0.47955113465656,0.4686838188488
61,4079,1051,31,8,0.4075,0.389,0.4995,0.4714,0.4315,0.4051,0.517851830257743,0.497174090960614
62,3976,1154,30,9,0.3571,0.3228,0.5309,0.4976,0.4424,0.4088,0.598443300461164,0.578219803986919
63,4038,1092,31,8,0.4618,0.4356,0.542,0.515,0.5206,0.5,0.540604745460503,0.527583702749085
64,4055,1075,31,8,0.405,0.3739,0.5004,0.4623,0.421,0.3977,0.482265246063804,0.462233949477102
65,3991,1139,30,9,0.4474,0.4255,0.5131,0.4942,0.4657,0.4497,0.513023644433822,0.498167602169398
66,4053,1077,31,8,0.4864,0.474,0.5463,0.5309,0.4996,0.4893,0.588836282282094,0.557950740436545
67,4041,1089,31,8,0.4352,0.4245,0.5439,0.5279,0.4628,0.4489,0.545261690709159,0.528076591735214
68,4067,1063,31,8,0.3948,0.3654,0.5433,0.5152,0.4526,0.43,0.60309688908924,0.588716391436492
69,4053,1077,31,8,0.5373,0.5403,0.5789,0.5706,0.5757,0.573,0.623849390966677,0.607031209487528
70,3993,1137,30,9,0.4496,0.426,0.5917,0.5763,0.4846,0.4636,0.593872663349845,0.562666991365098
71,4089,1041,31,8,0.4671,0.438,0.4959,0.456,0.4499,0.4222,0.430681881414145,0.408771805183714
72,4097,1033,31,8,0.4016,0.383,0.5614,0.5457,0.4705,0.4543,0.607416225375479,0.596334453906084
73,4063,1067,31,8,0.4212,0.4052,0.5144,0.493,0.4586,0.4377,0.536070155115393,0.517261246598411
74,4050,1080,31,8,0.3816,0.3668,0.4708,0.4562,0.4014,0.3835,0.569864505778815,0.565290784686791
75,4086,1044,31,8,0.377,0.3619,0.4489,0.4284,0.3946,0.3762,0.437761595170633,0.421848361506603
76,4067,1063,31,8,0.4219,0.399,0.4979,0.4717,0.3725,0.3503,0.49385181546113,0.466001128395477
77,4041,1089,31,8,0.4541,0.4388,0.5628,0.5464,0.5186,0.5127,0.559403837086497,0.539111968182161
78,4076,1054,31,8,0.4371,0.4293,0.5276,0.5132,0.4975,0.486,0.561832095139206,0.537112538042674
79,4060,1070,31,8,0.4749,0.4662,0.559,0.5493,0.5148,0.5052,0.587222621381987,0.561625745153552
80,4075,1055,31,8,0.4519,0.4231,0.6126,0.591,0.5295,0.5146,0.609598977185056,0.59296081371692
81,4053,1077,31,8,0.4326,0.3987,0.5509,0.5181,0.4932,0.4606,0.509481907782942,0.48580587342598
82,4045,1085,31,8,0.3547,0.3397,0.4595,0.4436,0.4054,0.3956,0.603365890302819,0.590574014303628
83,4076,1054,31,8,0.4717,0.4497,0.5369,0.5119,0.5005,0.4804,0.465692929783856,0.443596880130307
84,4039,1091,31,8,0.3958,0.3726,0.5056,0.475,0.4178,0.3938,0.485369342063381,0.450346131733823
85,4066,1064,31,8,0.512,0.4955,0.5628,0.5422,0.5475,0.5282,0.604738354851622,0.584436407810585
86,4082,1048,31,8,0.5097,0.4863,0.5756,0.5473,0.5159,0.4965,0.529551968154174,0.50784549177087
87,4064,1066,31,8,0.49,0.4632,0.5623,0.5378,0.5154,0.4912,0.484105076129161,0.460447690858556
88,3982,1148,30,9,0.4392,0.4301,0.4915,0.472,0.4468,0.4316,0.531966161935418,0.498687305077938
89,4061,1069,31,8,0.4526,0.4499,0.492,0.4834,0.4784,0.4751,0.552056708040035,0.523205173439537
90,4096,1034,31,8,0.4803,0.4711,0.5519,0.5408,0.4995,0.4866,0.570690253674766,0.567030417302142
91,4044,1086,31,8,0.3886,0.3876,0.4868,0.4793,0.3991,0.3938,0.605906840773432,0.597168515019734
92,3970,1160,30,9,0.438,0.4204,0.502,0.4817,0.453,0.4355,0.572864793855493,0.550303182530096
93,3991,1139,30,9,0.4497,0.4158,0.5491,0.5087,0.4567,0.4227,0.557485165751154,0.525109831360409
94,4082,1048,31,8,0.497,0.4806,0.5567,0.525,0.5315,0.5209,0.565264320894231,0.549910508439383
95,4047,1083,31,8,0.415,0.4149,0.4536,0.4505,0.4316,0.4294,0.574730388161415,0.564784758098144
96,4074,1056,31,8,0.4096,0.4093,0.4986,0.4993,0.4157,0.4229,0.524973631376328,0.502669473740225
97,4043,1087,31,8,0.4403,0.4261,0.5671,0.5506,0.4919,0.4859,0.517161836629881,0.493660167313077
98,3974,1156,30,9,0.3852,0.3778,0.4463,0.4399,0.3617,0.3585,0.47385533882837,0.462871934128791
99,4057,1073,31,8,0.3769,0.3728,0.473,0.4603,0.4047,0.3945,0.500413580801951,0.471813315055584
100,3985,1145,30,9,0.3729,0.3461,0.5309,0.4961,0.4138,0.3913,0.597104535006786,0.575589314563895
