seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
67,1273,347,30,9,0.1106,0.1313,0.0649,0.0784,0.0791,0.098,0.20833673156148,0.157012031597326
68,1279,341,31,8,0.4387,0.4601,0.5155,0.5435,0.3968,0.4358,0.357810064869631,0.272261052720796
69,1245,375,31,8,0.5539,0.5827,0.5939,0.5961,0.5371,0.5494,0.34830313834578,0.345514947520741
70,1239,381,30,9,0.4832,0.5019,0.4714,0.4953,0.4649,0.4979,0.360578544336789,0.262083989932717
71,1290,330,31,8,0.5159,0.5683,0.528,0.5701,0.4785,0.5201,0.595220599565518,0.601601502913275
72,1293,327,30,9,0.3544,0.297,0.3544,0.314,0.314,0.2875,0.157281603657506,0.0677689276015113
73,1283,337,31,8,0.1849,0.1825,0.1527,0.1698,0.1018,0.1137,-0.0796815821009406,-0.0995704779553711
74,1275,345,31,8,0.3389,0.3227,0.3314,0.3074,0.3081,0.298,0.429763166852387,0.380796391277713
75,1288,332,31,8,0.1925,0.2006,0.2475,0.2572,0.1597,0.1546,0.262666715109939,0.273621758376171
76,1294,326,30,9,0.1871,0.1987,0.2312,0.2383,0.1878,0.19,0.0942919047481085,0.0950585052817671
77,1243,377,31,8,0.5081,0.5509,0.5506,0.5907,0.4692,0.5144,0.398268800397927,0.29374313751592
78,1292,328,31,8,0.5387,0.5422,0.5436,0.5511,0.5302,0.5317,0.616014335828221,0.622846812106049
79,1250,370,31,8,0.3274,0.3927,0.3516,0.4201,0.2948,0.3436,0.608397166266814,0.607944307582664
80,1279,341,32,7,0.128,0.1229,0.1205,0.1243,0.0831,0.1004,0.442941168135772,0.463741953154822
81,1283,337,32,7,0.5224,0.5354,0.5358,0.5551,0.4785,0.4898,0.48941431417444,0.543180693884119
82,1275,345,31,8,0.0084,0.0438,0.0034,0.0525,0.0462,0.0945,0.285642710394726,0.222351080515484
83,1248,372,30,9,0.2282,0.2376,0.2137,0.224,0.1566,0.1667,0.661654126197011,0.65825055395156
84,1280,340,33,6,0.369,0.3689,0.3961,0.4082,0.337,0.3472,0.611709108109842,0.631963363948427
85,1281,339,31,8,0.2169,0.2352,0.2107,0.2248,0.1704,0.1922,0.583959502058133,0.626227993570615
86,1294,326,31,8,0.2942,0.2632,0.3232,0.2901,0.272,0.2346,0.405483551873685,0.406749189745958
87,1245,375,31,8,0.2259,0.2422,0.2053,0.2099,0.174,0.188,0.302191847758025,0.282953617834308
88,1273,347,30,9,0.1323,0.1622,0.163,0.1869,0.122,0.1167,0.278850066756598,0.253294638710834
89,1289,331,31,8,-0.0681,-0.0363,-0.0796,-0.0388,-0.1594,-0.1201,0.535169586335035,0.434744454029366
90,1232,388,30,9,0.2985,0.3213,0.3241,0.3473,0.2865,0.3113,0.440903056185922,0.268119048975099
91,1274,346,31,8,0.2665,0.2713,0.2634,0.2687,0.2841,0.2982,0.0592318553891837,0.0349680044565033
92,1277,343,31,8,0.3338,0.3315,0.3162,0.3338,0.3161,0.3235,0.544193455836618,0.434080171681172
93,1273,347,30,9,0.3766,0.3725,0.3456,0.3533,0.2386,0.2704,0.603051328270792,0.606466796959287
94,1281,339,30,9,0.6405,0.6433,0.6736,0.6469,0.6302,0.6271,0.327189238542854,0.281252866081649
95,1279,341,31,8,0.2514,0.2491,0.238,0.2407,0.2195,0.2095,0.198410006739084,0.153561255350953
96,1287,333,30,9,-0.0106,0.0265,-0.0086,0.0148,-0.0441,-0.0161,0.196686580635404,0.118159959735682
97,1276,344,32,7,-0.0883,-0.0766,-0.0538,-0.0318,-0.151,-0.1395,0.269004268484484,0.291754108399507
98,1265,355,29,10,0.2381,0.2433,0.2121,0.2221,0.2123,0.2275,0.0175952436248582,0.0271179230399028
99,1277,343,29,10,0.1295,0.1499,0.1949,0.2069,0.0966,0.1083,0.313760755391034,0.280221240953349
100,1274,346,31,8,0.4823,0.4195,0.5099,0.4385,0.4562,0.4141,0.433862597999253,0.42382996635943
