seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
61,4005,1035,31,8,0.3767,0.3408,0.3755,0.355,0.4041,0.3628,0.315715381081407,0.332964959472698
62,3904,1136,30,9,0.3206,0.3064,0.3431,0.3328,0.325,0.3173,0.422238967300592,0.429609389481096
63,3964,1076,31,8,0.4068,0.3969,0.4771,0.4786,0.4318,0.4311,0.432030503025713,0.414411966163304
64,3986,1054,31,8,0.3481,0.3761,0.4108,0.4382,0.3318,0.3528,0.221485471678828,0.251124733888916
65,3924,1116,30,9,0.1591,0.1587,0.2433,0.2507,0.1972,0.1985,0.303676616039472,0.313883428668
66,3986,1054,31,8,0.4008,0.4218,0.4686,0.4922,0.4046,0.4182,0.313859013712497,0.331094877701139
67,3971,1069,31,8,0.4652,0.4474,0.4734,0.4575,0.4667,0.4407,0.388632332218794,0.362502881669684
68,3994,1046,31,8,0.3708,0.3781,0.3742,0.3864,0.3511,0.356,0.374651381205827,0.394700641652835
69,3980,1060,31,8,0.2571,0.2234,0.2447,0.1909,0.1893,0.1486,0.159551122075181,0.168918827099643
70,3923,1117,30,9,0.3817,0.3504,0.3887,0.372,0.3922,0.3757,0.362451207885571,0.377567863498262
71,4024,1016,31,8,0.3094,0.2944,0.347,0.3443,0.3344,0.3066,0.41720254287804,0.411600775249698
72,4025,1015,31,8,0.1872,0.1686,0.202,0.1855,0.2025,0.1917,0.383574466587799,0.417715358105315
73,3984,1056,31,8,0.4375,0.4132,0.4538,0.4291,0.4456,0.4253,0.224647061540951,0.227838072000377
74,3974,1066,31,8,0.3525,0.353,0.3273,0.3116,0.3074,0.3067,0.450139252698134,0.459716237801924
75,4018,1022,31,8,0.3988,0.4015,0.4201,0.4233,0.3558,0.3555,0.413283871935049,0.36452239780996
76,4002,1038,31,8,0.1372,0.14,0.2288,0.2121,0.1224,0.1209,0.202995146545164,0.206644924654052
77,3967,1073,31,8,0.4206,0.3812,0.4678,0.4362,0.4291,0.3906,0.14624883710177,0.140244253685565
78,3998,1042,31,8,0.39,0.3892,0.4191,0.4181,0.3745,0.3699,0.356992702270531,0.366410046458927
79,3990,1050,31,8,0.2971,0.2892,0.3871,0.3885,0.2788,0.2734,0.476086683052251,0.502990123366178
80,4003,1037,31,8,0.3808,0.3608,0.3433,0.3225,0.3542,0.3354,0.407658101171925,0.388347118137346
81,3978,1062,31,8,0.3079,0.2781,0.3695,0.349,0.3009,0.2633,0.37069478439807,0.362903278485174
82,3973,1067,31,8,0.1449,0.1552,0.2504,0.2587,0.1476,0.1552,0.472562473571988,0.488099763041113
83,4008,1032,31,8,0.3873,0.4203,0.3906,0.427,0.3654,0.4004,0.320058350429213,0.35250534359443
84,3966,1074,31,8,0.426,0.4213,0.4049,0.3982,0.3486,0.3398,0.288255447856916,0.279607709856109
85,3996,1044,31,8,0.3761,0.3669,0.376,0.3694,0.3539,0.3408,0.423554081238879,0.440177490816216
86,4010,1030,31,8,0.3147,0.2737,0.324,0.2785,0.3321,0.2904,0.232452416715788,0.199160109289709
87,3995,1045,31,8,0.4083,0.4101,0.3985,0.4122,0.4096,0.4076,0.243968507962621,0.233206195620576
88,3917,1123,30,9,0.4342,0.4304,0.4936,0.5022,0.4304,0.4211,0.415805877785802,0.423542728695026
89,3990,1050,31,8,0.0527,0.0739,0.1226,0.138,0.0955,0.1126,0.394984830476728,0.377764585112887
90,4017,1023,31,8,0.436,0.4209,0.4219,0.3942,0.4418,0.4218,0.450284105910889,0.462138621177096
91,3967,1073,31,8,0.383,0.376,0.4192,0.411,0.3964,0.3858,0.320694277311223,0.301067566096315
92,4029,1011,31,8,0.2601,0.2479,0.2598,0.2511,0.2088,0.1994,0.408529749942516,0.397437517874255
93,3926,1114,30,9,0.1813,0.1667,0.1777,0.1768,0.1844,0.1789,0.476547068547248,0.486340761160357
94,4016,1024,31,8,0.3183,0.3273,0.3717,0.3826,0.3107,0.3185,0.221072830650749,0.223384509693422
95,3974,1066,31,8,0.0708,0.0777,0.1016,0.1143,0.0689,0.08,0.403918539529826,0.421086941440656
96,4004,1036,31,8,0.3301,0.3156,0.3597,0.3319,0.2983,0.2774,0.243954767248446,0.246566758523278
97,3971,1069,31,8,0.4151,0.4091,0.3875,0.372,0.3385,0.3446,0.415532622231841,0.387366322093015
98,3902,1138,30,9,0.33,0.3367,0.3317,0.3332,0.311,0.3114,0.262696739888208,0.260163114633471
99,3993,1047,31,8,0.4273,0.4506,0.4313,0.4591,0.4481,0.458,0.386721043410205,0.41690750920811
100,3912,1128,30,9,0.0376,0.021,0.1647,0.1377,0.0328,0.0187,0.277243001123938,0.273888797005829
